1;2478;BCO.BRASIL AG 2478-3 - PONTE ALTA - SC;;;3
1;2490;BANCO BRASIL AG- 2490-2 - UNIÃO DA VITÓRIA;;;2
1;2491;BCO.BRASIL AG 2491-0 PORTO XAVIER;;;0
1;2514;BCO.BRASIL AG 2514-3 - REALEZA;;;3
1;2543;BCO.BRASIL AG 2543-7 - RIO NEGRO - PR;;;7
1;2554;BANCO DO BRASIL AGENCIA 2554-2 ROQUE GONZALES;;;2
1;2613;BCO.BRASIL AG - 2613-1 - SÃO DOMINGOS - SC;;;1
1;2638;BCO.BRASIL AG: 2638-7 - SÃO JOSE - SC;;;7
1;2672;BCO.BRASIL AG 2672-7 - SAPUCAIA DO SUL;;;7
1;2679;SERAFINA CORREA;;;4
1;2692;PASSO FUNDO;;;1
1;2694;RIO GRANDE;;;8
1;2708;SANTA CRUZ;;;1
1;2740;TRIUNFO;;;5
1;2741;BCO.BRASIL AG - 2741-3 - TUCUNDUVA - RS;;;3
1;2768;BCO.BRASIL AG 2768-5 VERA CRUZ;;;5
1;2794;BCO.BRASIL AG 2794-4 - ANCHIETA- CANOAS RS;;;4
1;2797;BCO.BRASIL AG - 2797-9 - PORTO ALEGRE;;;9
1;2840;BANCO BRASIL AG. 2840-1 - NOVA BASSANO RS;;;1
1;2846;B.BRASIL AG- 2846-0 - BARROS CASSAL;;;0
1;2867;CACHOEIRINHA;;;3
1;2871;BCO.BRASIL - AG - 2871-1 - NSA.SRA.LOURDES-CAXIAS;;;1
1;2893;BCO.BRASIL AG 2893-2 SANTA MARIA;;;2
1;2904;SCHARLAU;;;1
1;2910;RIO GRANDE;;;6
1;2919;BCO.BRASIL AG: 2919-X - AGUA SANTA - RS;;;X
1;2942;PELOTAS;;;4
1;2950;PELOTAS;;;5
1;2952;BANCO BRASIL-AG 2952-1 CACHOEIRA;;;1
1;2969;BENTO GONCALVES;;;6
1;2982;ITAJAI;;;3
1;2987;BCO.BRASIL AG- 2987-4 - NOVO HAMBURGO;;;4
1;2990;BCO BRASIL AG: 2990-4 BAIRRO RIO BRANCO;;;4
1;2992;29920 P. FUNDO;;;0
1;3037;BCO.BRASIL AG 3037-6 -CAMPO VERDE MT;;;6
1;3047;BANCO DO BRASIL AG 3047-3-CAPOEIRAS SC;;;3
1;3058;SANTA MARIA;;;9
1;3067;BCO.BRASIL AG: 3067-8 - CHARQUEADAS;;;8
1;3078;BANCO DO BRASIL AG 3078-3-LAGES;;;3
1;3098;BCO.BRASIL AG 3098-8- DR.MAURICIO CARDOSO;;;8
1;3124;PELOTAS;;;0
1;3134;BCO.BRASIL AG 3134-8 - NOVO HAMBURGO;;;
1;3153;BCO.BRADESCO AGENCIA - 3153-4 - PASSO FUNDO;;;
1;3160;JOINVILLE;;;7
1;3188;BCO.BRASIL AG 3188-7 - TEUTONIA;;;7
1;3220;CAXIAS DO SUL;;;4
1;3240;BCO.BRASL AG 3240-9 - BORGES;;;9
1;3244;B.BRASIL AG - 3244-1-PARAISO DO SUL-CANDELARIA;;;1
1;3246;PAROBE;;;8
1;3256;BANCO DO BRASIL- AG 3256-5 -PORTO ALEGRE;;;5
1;3269;BCO.BRASIL AG-3269-7 TRIUNFO;;;7
1;3281;SANTA MARIA;;;6
1;3289;BCO.BRASIL AG- 3289-1 - CASCAVEL - PR;;;1
1;3328;PONTA GROSSA;;;6
1;3334;BCO.BRASIL AG - 3334-0 - PORTO ALEGRE;;;0
1;3395;BCO.BRASIL AG 3395-2 - RIO GRANDE;;;2
1;3495;BANCO BRADESCO AG 3495- PORTO ALEGRE;;;
1;3529;PORTO ALEGRE;;;7
1;3530;BANCO DO BRASIL AGENCIA- 3530-0 - PORTO ALEGRE;;;0
1;3534;PASSO FUNDO;;;3
1;3542;BCO.BRASIL AG - 3542-4 - CHAPECÓ - SC;;;4
1;3616;BANCO DO BRASIL AG 3616-1 - FELIPE SCHMIDT FLORIAN;;;1
1;3711;BCO.BRASIL AG 3711-7- CANDIDO GODOY;;;7
1;3726;BCO.BRASIL AG- 3726-5 - FORTALEZA DOS VALOS;;;5
1;3730;BCO.DO BRASIL AG- 3730-3 = IBIAÇA - RS;;;3
1;3742;BCO.BRASIL AG - 3742-7 MATA - RS;;;7
1;3749;BCO.BRASIL AG 3749-4 - PALMITINHO - RS;;;4
1;3751;BANCO DO BRASIL AG 3751-6-PEJUÇARA - RS;;;6
1;3761;BANCO DO BRASIL - AG - 3761-3 - RONDINHA - RS;;;3
1;3866;BCO.BRASIL AG - 3866-0 IGARA;;;0
1;3870;FLORESTA;;;9
1;3876;SAO JOAO;;;8
1;3882;BANCO DO BRASIL AG-3882-2 - CHUVISCA - RS;;;2
1;3909;BCO.BRASIL AG - 3909-9 - BROCHIER - RS;;;
1;3917;BCO.BRASIL AG - 3917-9 - STA.CLARA DO SUL - RS;;;9
1;4082;BCO.BRASIL AG 4082-7 - SAL.FILHO;;;7
1;4103;BANCO BRASIL AG- 4103-3 - SAO DOMINGOS;;;3
1;4251;BCO.BRASIL - AGENCIA 4251-X - ERECHIM;;;X
1;4354;PASSO FUNDO;;;0
1;4397;BCO.BRASIL AG - 4397-4 - FLORIANOPOLIS;;;4
1;4470;BCO.BRASIL AG- 4470-9 - FLORES DA CUNHA - RS;;;9
1;4507;BCO.BRASIL AG 4507-1 ROLANTE;;;1
1;4508;BCO.BRASIL AG 4508-X - MAXIMILIANO DE ALMEIDA;;;X
1;4510;BCO.BRASIL AG 4510-1 - NOVA HARTZ;;;1
1;4516;BCO.BRASIL AG- 4516-0 - NOVO HAMBURGO;;;0
1;4531;BCO.BRASIL AG - 4531-4 - SANTO CRISTO;;;4
1;4602;BCO.BRASIL AG 4602-7 - FAXINAL DOS GUEDES;;;7
1;4619;BCO.BRASIL AG- 4619-1 - PAVERAMA;;;1
1;4675;BCO.BRASIL AG - 4675-2 - SÃO JOÃO DO POLESINE - RS;;;2
1;4773;BCO.BRASIL AG - 4773-2 - JOINVILE - SC;;;2
1;5204;BCO.BRASIL AG - 5204-3 - CACADOR;;;3
1;5206;BCO.BRASIL AG 5206-X - CAMPOS NOVOS SC;;;X
1;5215;BCO.BRASIL AG.BESC - 5215-9;;;9
1;5216;BCO.BRASIL AG 5216-7 - MAFRA;;;7
1;5234;B.BRASIL AG - 5234-5 - VIDEIRA - SC;;;5
1;5235;BCO.BRASIL AG - 5235-3 - CURITIBANOS - SC;;;3
1;5236;BCO.BRASIL AG - 5236-1 - CONCORDIA - SC;;;1
1;5237;BCO.BRASIL AG - 5237-X - SÃO MIGUEL DOESTE-SC;;;X
1;5284;BCO.BRASIL AG-5284-1-SÃO JOSE CERRITO/SC;;;1
1;5294;BCO.BRASIL-BESC- SC - AG 5294-9;;;9
1;5322;BCO.BRASIL AGENCIA - 5322-8- VIDEIRA;;;8
1;5375;BCO.BRASIL AG 5375-9-CORREIA PINTO - SC;;;9
1;5397;BCO.BRASIL AG - 5397-X - GUARACIABA - SC;;;X
1;5425;BCO.BRASIL AG - 5425-9 -LINDOIA DO SUL - SC;;;9
1;5447;BANCO DO BRASIL AGENCIA- 5447-0 - CAÇADOR;;;0
1;5656;BCO.BRASIL AG 5656-1 - TRIANGULO - RS;;;1
1;5672;B.BRASIL AG-5672-3 -BAL.CASSINO-RIO GRANDE;;;3
1;5745;BANCO BRASIL AG- 5745-2 - PORTO ALEGRE;;;2
1;5795;BANCO BRASIL AG- 5795-9 - GUARAPUAVA - PR;;;9
1;5995;BCO.BRASIL - AG: 5995-1 - CAXIAS DO SUL - RS;;;1
1;8052;B.BRASIL AG - 8052-7 - PATO BRANCO - PR;;;7
1;8103;BCO.BRASIL - AG- 8103-5 AV.NAÇÕES UNIDAS-N.HAMBURG;;;5
1;8114;BANCO BRASIL AG- 8114-0 - SANTA MARIA;;;0
1;8639;BCO.BRASIL AG 8639-8 - ESTILO-MOROM-PASSO FUNDO;;;8
8;28;CENTENARIA;;;
8;40;ALEGRETE;;;
8;55;CAMAQUA;;;
8;66;CARAZINHO;;;
8;84;UNIAO DA VITORI;;;
8;151;RIO GRANDE;;;
8;227;FLORIANOPOLIS;;;
8;288;PARTENON - 028;;;
8;526;CACHOEIRA SUL;;;
8;626;BANCO DO BRASIL AG 626-2 CANDELARIA;;;2
8;805;DOM PEDRITO;;;
8;903;ESTEIO;;;
8;1112;IJUI;;;
8;1140;ITAQUI;;;
8;1141;BANCO SANTANDER - AG 1141 - MARAU;;;
8;1170;JAGUARAO;;;
8;1214;LAGOA VERMELHA;;;
8;1224;LAJEADO;;;
8;1393;PALMEIRA MISSOE;;;
8;1500;CACAPAVA DO SUL;;;
8;1690;SANTA ROSA;;;
8;1735;SANTIAGO;;;
8;1740;SANTO ANGELO;;;
8;1790;SAO BORJA;;;
8;1859;SAO GABRIEL;;;
8;1890;SCHARLAU;;;
8;1939;SAO LUIZ GONZAG;;;
8;2030;SOLEDADE;;;
8;2035;SOLEDADE;;;
8;2137;TRES DE MAIO;;;
8;2159;TRES PASSOS;;;
8;2240;VENANCIO AIRES;;;
8;2352;CACADOR;;;
8;2400;CRICIUMA;;;
8;2410;CURITIBANOS;;;
8;2440;JOACABA;;;
8;2452;JOINVILLE;;;
8;2636;TUBARAO;;;
8;2793;GUARAPUAVA;;;
8;2964;UNIAO DA VITORI;;;
8;3373;BCO.SANTANDER - AG - 3373 -SP-PRAÇA DA REPUBLICA;;;
8;4570;ALVORADA;;;
8;4620;CACHOEIRINHA;;;
8;4802;URBANA IGUATEMY;;;
8;5022;FREDERICO WESTP;;;
8;22200;VACARIA;;;
27;15;BANCO BESC - AG 015;;;
27;40;MAFRA;;;
27;558;SAO JOSE;;;
41;17;BANCO BANRISUL  AG 017 - PASSO FUNDO;;;
41;110;BANCO BANRISUL- AG 0110;;;
41;190;BCO.BANRISUL AG 190-CRUZ ALTA;;;
41;205;BANRISUL-AG 205;;;
41;308;BANRISUL - NOVA HARTZ;;;
41;310;PASSO FUNDO;;;
41;315;BCO.BANRISUL AG 315 - PASSO FUNDO;;;
41;350;BANCO BANRISUL-AG.0350;;;
41;370;SANTO ANGELO;;;
41;390;BANCO BANRISUL-AG 390;;;
41;430;URUGUAIANA;;;
41;475;PELOTAS;;;
41;587;BCO.BANRISUL AG - 587 - CERRO LARGO;;;
41;791;BANCO BANRISUL - AGENCIA 0791 PAROBE;;;
41;898;GUAIBA;;;
41;917;BANCO BANRISUL-AG 917;;;
104;19;CXA.FEDERAL - AG - 0019 - FAXINAL DOS GUEDES - SC;;;
104;48;IJUI;;;3
104;49;CXA.FEDERAL AG 049-CASA AMARELA RECIFE;;;
104;104;CXA.ECON.FEDERAL AG-1875 -KOBRASOL;;;
104;107;CAIXA FEDERAL-AG.1078;;;
104;159;SANTA MARIA;;;5
104;370;CXA.FEDERAL AG 370-0 - CURITIBA -PR;;;0
104;371;CXA.FEDERAL AG-371-BACACHERI - PR;;;
104;386;CAMPO MOURAO;;;
104;389;GUARAPUAVA;;;
104;390;CXA.FEDERAL AG 390-IRATI;;;
104;394;CXA.FEDERAL AG 394 - LONDRINA PR;;;
104;397;CXA.FEDERAL AG 397-PALMEIRA;;;
104;400;PONTA GROSSA;;;
104;401;CXA.FEDERAL AG-401-PRUDENTOPOLIS;;;
104;407;UNIAO DA VITORI;;;
104;408;FLORIANOPOLIS;;;
104;410;TUBARAO;;;
104;413;CXA.FEDERAL AG 413-8 - CANOINHAS - SC;;;8
104;414;CHAPECO;;;
104;415;CRICIUMA;;;
104;416;BAL CAMBORIU;;;
104;419;JOINVILLE;;;
104;420;LAGES;;;
104;422;UNIAO VITORIA;;;
104;427;ARARANGUA;;;
104;428;CXA.FEDERAL AG - 428-PORTO ALEGRE;;;
104;429;IGUATEMY;;;
104;430;CXA.FEDERAL AG 430-RUA DA PRAIA;;;
104;432;CXA.FEDERAL AG 0432-AZENHA;;;
104;433;CXA.FEDERAL AG 0433- VILA FERNANDES - RS;;;
