codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;nome_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial
008;460;;PRM SOLEDADE;MARECHAL FLORIANO PEIXOTO;;909;1175;RS;4320800;0;0;;F;1;92012467046080;;;;4781400;4781;;0;4781400;;AV;99300000
008;461;;GRZ VENANCIO AIRES;OSVALDO ARANHA;;1685;629;RS;4322608;0;0;;F;1;92012467046161;;;;4781400;4781;;0;4781400;;R;95800000
008;462;;TOT TUPANCIRETA;VAZ FERREIRA;;776;3347;RS;4322202;0;0;;F;1;92012467046242;;;;4759899;4781;;0;4759899;;AV;98170000
008;463;;TOT CAMAQUA;JULIO DE CASTILHOS;sala terrea;662;156;RS;4303509;0;0;;F;1;92012467046323;;;;4759899;4781;;0;4759899;;R;96780072
008;464;;GRZ FREDERICO WESTPHALEN;DO COMERCIO;SALA 01;355;4219;RS;4308508;0;0;;F;1;92012467046404;;;;4781400;4781;;0;4781400;;R;98400000
008;465;;PRM SAO JERONIMO;CORONEL SOARES DE CARVALHO;;518;5425;RS;4318408;0;0;;F;1;92012467046595;;;;4781400;4781;;0;4781400;;R;96700000
008;466;;GRZ AGUDO;CONCORDIA;;624;4180;RS;4300109;0;0;;F;1;92012467046676;;;;4781400;4781;;0;4781400;;AV;96540000
008;467;;TOT ALEGRETE;DOS ANDRADAS;;599;317;RS;4300406;0;0;;F;1;92012467046757;;;;4759899;4781;;0;4759899;;R;97541001
008;468;;PRM CRUZ ALTA;PINHEIRO MACHADO;;854;135;RS;4306106;0;0;;F;1;92012467046838;;;;4781400;4781;;0;4781400;;R;98005000
008;469;;PRM CARAZINHO;FLORES DA CUNHA;;633;63;RS;4304705;0;0;;F;1;92012467046919;;;;4781400;4781;;0;4781400;;AV;99500000
008;470;;PRM CHAPECO;SENADOR ATTILIO FRANCISCO;;2160;3295;SC;4204202;0;0;;F;1;92012467047052;;;;4781400;4781;;0;4781400;;AV;89809505
008;471;;GRZ ESPUMOSO;ANGELO MACALOS;;366;4171;RS;4307500;0;0;;F;1;92012467047133;;;;4781400;4781;;0;4781400;;AV;99400000
008;472;;PRM RONDA ALTA;XV DE NOVEMBRO;;767;5553;RS;4316105;0;0;;F;1;92012467047214;;;;4781400;4781;;0;4781400;;R;99670000
008;473;;GRZ NOVA HARTZ;EMILIO JOST;;223;4448;RS;4313060;0;0;;F;1;92012467047303;;;;4781400;4781;;0;4781400;;R;93890000
008;474;;TOT TRES DE MAIO;PADRE CACIQUE;TERREO;990;754;RS;4321808;0;0;;F;1;92012467047486;;;;4759899;4781;;0;4759899;;R;98910970
008;475;;PRM CHAPECO;MARECHAL JOSE B BORMANN;;119;249;SC;4204202;0;0;;F;1;92012467047567;;;;4781400;4781;;0;4781400;;R;89802120
008;476;;GRZ SANTO AUGUSTO;DO COMERCIO;;617;3457;RS;4317806;0;0;;F;1;92012467047648;;;;4781400;4781;;0;4781400;;AV;98590970
008;477;;GRZ TAPEJARA;QUINZE DE NOVEMBRO;;124;3344;RS;4320909;0;0;;F;1;92012467047729;;;;4781400;4781;;0;4781400;;R;99950970
008;478;;GRZ TUPANCIRETA;VAZ FERREIRA;SALA 02;1346;3347;RS;4322202;0;0;;F;1;92012467047800;;;;4781400;4781;;0;4781400;;AV;98170970
008;479;;PRM TAPERA;DUQUE DE CAXIAS;;590;5655;RS;4321006;0;0;;F;1;92012467047990;;;;4781400;4781;;0;4781400;;R;99490000
008;480;;PRM TUPANCIRETA;VAZ FERREIRA;LOJA 01;1346;3347;RS;4322202;0;0;;F;1;92012467048024;;;;4781400;4781;;0;4781400;;AV;98170970
