codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;376337;05/01/2006;2;1;1;;05/01/2006;376337;;101;N;1
8;1;376338;05/01/2006;2;1;1;;05/01/2006;376338;;101;N;1
8;1;376339;02/01/2006;1;1;1;;02/01/2006;376339;;101;N;1
8;1;376340;05/01/2006;1;1;1;;05/01/2006;376340;;101;N;1
8;1;376341;05/01/2006;2;1;1;;05/01/2006;376341;;101;N;1
8;1;376342;10/01/2006;2;1;1;;10/01/2006;376342;;101;N;1
8;1;376343;10/01/2006;1;1;1;;10/01/2006;376343;;101;N;1
4;1;376344;19/01/2006;1;1;1;;19/01/2006;376344;;101;N;1
276;1;376346;16/01/2006;2;1;1;;16/01/2006;376346;;101;N;1
8;1;376347;20/01/2006;2;1;1;;20/01/2006;376347;;101;N;1
8;1;376348;13/01/2006;2;1;1;;13/01/2006;376348;;101;N;1
8;1;376349;25/01/2006;2;1;1;;25/01/2006;376349;;101;N;1
8;1;376350;23/01/2006;2;1;1;;23/01/2006;376350;;101;N;1
8;1;376351;19/01/2006;2;1;1;;19/01/2006;376351;;101;N;1
4;1;376352;01/02/2006;2;1;1;;01/02/2006;376352;;101;N;1
8;1;376353;06/03/2006;1;1;1;;06/03/2006;376353;;103;N;1
8;1;376354;01/02/2006;1;1;1;;01/02/2006;376354;;101;N;1
8;1;376355;01/02/2006;2;1;1;;01/02/2006;376355;;101;N;1
8;1;376356;01/02/2006;2;1;1;;01/02/2006;376356;;101;N;1
8;1;376357;01/02/2006;1;1;1;;01/02/2006;376357;;101;N;1
8;1;376358;01/02/2006;2;1;1;;01/02/2006;376358;;101;N;1
8;1;376359;01/02/2006;2;1;1;;01/02/2006;376359;;101;N;1
8;1;376360;01/02/2006;1;1;1;;01/02/2006;376360;;101;N;1
8;1;376361;01/02/2006;2;1;1;;01/02/2006;376361;;101;N;1
8;1;376362;01/02/2006;2;1;1;;01/02/2006;376362;;101;N;1
8;1;376363;01/02/2006;2;1;1;;01/02/2006;376363;;101;N;1
8;1;376364;04/02/2006;2;1;1;;04/02/2006;376364;;101;N;1
8;1;376365;04/02/2006;2;1;1;;04/02/2006;376365;;101;N;1
8;1;376366;01/03/2006;1;1;1;;01/03/2006;376366;;103;N;1
8;1;376367;04/02/2006;1;1;1;;04/02/2006;376367;;101;N;1
8;1;376368;06/02/2006;1;1;1;;06/02/2006;376368;;101;N;1
8;1;376369;08/02/2006;1;1;1;;08/02/2006;376369;;101;N;1
8;1;376370;08/02/2006;2;1;1;;08/02/2006;376370;;101;N;1
8;1;376371;07/02/2006;1;1;1;;07/02/2006;376371;;101;N;1
8;1;376372;08/02/2006;1;1;1;;08/02/2006;376372;;101;N;1
8;1;376373;10/02/2006;2;1;1;;10/02/2006;376373;;101;N;1
8;1;376374;10/02/2006;1;1;1;;10/02/2006;376374;;101;N;1
8;1;376375;10/02/2006;1;1;1;;10/02/2006;376375;;101;N;1
4;1;376376;17/02/2006;1;1;1;;17/02/2006;376376;;101;N;1
8;1;376377;08/02/2006;2;1;1;;08/02/2006;376377;;101;N;1
8;1;376378;11/02/2006;1;1;1;;11/02/2006;376378;;101;N;1
8;1;376379;14/02/2006;2;1;1;;14/02/2006;376379;;101;N;1
8;1;376380;15/02/2006;2;1;1;;15/02/2006;376380;;101;N;1
8;1;376381;15/02/2006;1;1;1;;15/02/2006;376381;;101;N;1
8;1;376382;15/02/2006;2;1;1;;15/02/2006;376382;;101;N;1
8;1;376383;06/02/2006;2;1;1;;06/02/2006;376383;;101;N;1
276;1;376384;09/02/2006;2;1;1;;09/02/2006;376384;;101;N;1
8;1;376385;16/02/2006;2;1;1;;16/02/2006;376385;;101;N;1
8;1;376386;17/02/2006;2;1;1;;17/02/2006;376386;;101;N;1
8;1;376387;22/02/2006;2;1;1;;22/02/2006;376387;;101;N;1
8;1;376388;22/02/2006;2;1;1;;22/02/2006;376388;;101;N;1
8;1;376389;22/02/2006;1;1;1;;22/02/2006;376389;;101;N;1
8;1;376390;06/02/2006;1;1;1;;06/02/2006;376390;;103;N;1
8;1;376391;06/02/2006;1;1;1;;06/02/2006;376391;;103;N;1
8;1;376392;06/02/2006;1;1;1;;06/02/2006;376392;;103;N;1
8;1;376393;06/02/2006;1;1;1;;06/02/2006;376393;;103;N;1
8;1;376394;06/02/2006;1;1;1;;06/02/2006;376394;;103;N;1
8;1;376395;06/02/2006;2;1;1;;06/02/2006;376395;;103;N;1
8;1;376396;06/02/2006;1;1;1;;06/02/2006;376396;;103;N;1
8;1;376397;06/02/2006;1;1;1;;06/02/2006;376397;;103;N;1
8;1;376399;06/02/2006;2;1;1;;06/02/2006;376399;;101;N;1
8;1;376400;23/02/2006;2;1;1;;23/02/2006;376400;;101;N;1
8;1;376401;06/02/2006;2;1;1;;06/02/2006;376401;;101;N;1
8;1;376402;06/02/2006;2;1;1;;06/02/2006;376402;;101;N;1
8;1;376403;06/02/2006;2;1;1;;06/02/2006;376403;;101;N;1
8;1;376404;06/02/2006;2;1;1;;06/02/2006;376404;;101;N;1
8;1;376405;06/02/2006;2;1;1;;06/02/2006;376405;;101;N;1
8;1;376406;06/02/2006;1;1;1;;06/02/2006;376406;;101;N;1
8;1;376407;06/02/2006;2;1;1;;06/02/2006;376407;;101;N;1
8;1;376408;06/03/2006;1;1;1;;06/03/2006;376408;;103;N;1
8;1;376409;06/03/2006;1;1;1;;06/03/2006;376409;;103;N;1
8;1;376410;06/03/2006;1;1;1;;06/03/2006;376410;;103;N;1
8;1;376411;06/03/2006;1;1;1;;06/03/2006;376411;;103;N;1
8;1;376412;13/03/2006;1;1;1;;13/03/2006;376412;;103;N;1
8;1;376413;01/03/2006;1;1;1;;01/03/2006;376413;;101;N;1
8;1;376414;01/03/2006;2;1;1;;01/03/2006;376414;;101;N;1
8;1;376415;01/03/2006;2;1;1;;01/03/2006;376415;;101;N;1
4;1;376416;14/03/2006;1;1;1;;14/03/2006;376416;;101;N;1
8;1;376417;01/03/2006;1;1;1;;01/03/2006;376417;;101;N;1
4;1;376418;14/03/2006;1;1;1;;14/03/2006;376418;;101;N;1
4;1;376419;13/03/2006;2;1;1;;13/03/2006;376419;;101;N;1
8;1;376420;01/03/2006;2;1;1;;01/03/2006;376420;;101;N;1
8;1;376421;04/03/2006;1;1;1;;04/03/2006;376421;;101;N;1
8;1;376422;04/03/2006;2;1;1;;04/03/2006;376422;;101;N;1
8;1;376423;06/03/2006;1;1;1;;06/03/2006;376423;;101;N;1
8;1;376424;06/03/2006;2;1;1;;06/03/2006;376424;;101;N;1
8;1;376425;07/03/2006;1;1;1;;07/03/2006;376425;;101;N;1
8;1;376426;07/03/2006;2;1;1;;07/03/2006;376426;;101;N;1
8;1;376427;07/03/2006;2;1;1;;07/03/2006;376427;;101;N;1
8;1;376428;09/03/2006;2;1;1;;09/03/2006;376428;;101;N;1
