codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;estrutura_cargo;codigo_cargo;motivo_alteracao
4;1;325210;01/01/2000;1;122;3
4;1;325210;01/10/2003;1;154;3
4;1;325210;01/12/2004;1;156;3
4;1;325953;25/11/1999;1;74;3
4;1;325953;01/01/2000;1;122;3
4;1;328979;23/04/2001;1;61;3
4;1;328979;23/07/2001;1;29;3
4;1;328979;01/08/2003;1;156;3
4;1;328979;01/11/2003;1;157;3
8;1;331120;17/07/2000;1;215;3
4;1;335339;22/11/2000;1;60;3
4;1;335339;01/12/2001;1;61;3
4;1;335339;01/06/2002;1;27;3
4;1;335339;01/07/2004;1;26;3
4;1;337773;04/04/2001;1;60;3
4;1;337773;01/06/2002;1;61;3
4;1;337773;01/10/2004;1;58;3
4;1;347515;02/09/2002;1;60;3
4;1;347515;01/10/2003;1;61;3
4;1;352268;12/12/2002;1;60;3
8;1;352683;14/01/2003;1;60;3
8;1;352683;01/09/2003;1;42;3
8;1;352683;01/04/2004;1;43;3
8;1;352683;21/07/2004;1;44;3
8;1;352683;01/06/2005;1;10;3
8;1;352683;01/06/2007;1;14;2
6;1;353426;01/06/2003;1;60;3
6;1;353426;01/05/2004;1;61;3
6;1;353426;20/11/2006;1;58;2
6;1;353426;04/07/2011;1;59;2
6;1;353426;01/04/2012;1;171;2
6;1;353426;01/04/2013;1;27;2
4;1;353671;05/05/2003;1;178;3
4;1;353671;01/12/2003;1;154;3
4;1;353671;01/10/2006;1;156;2
4;1;354759;22/07/2003;1;65;3
282;1;361488;02/02/2004;1;178;3
282;1;361488;01/03/2005;1;58;3
282;1;361488;04/07/2005;1;17;3
282;1;361488;07/11/2005;1;14;2
8;1;362239;15/03/2004;1;60;3
4;1;364967;02/08/2004;1;60;1
4;1;364967;01/08/2005;1;61;2
282;1;365246;10/08/2004;1;60;3
282;1;365246;01/08/2005;1;61;3
282;1;365246;06/11/2006;1;58;2
282;1;365246;01/01/2011;1;59;2
282;1;365246;01/08/2014;1;172;2
4;1;365718;06/09/2004;1;60;3
4;1;365718;06/10/2005;1;58;2
4;1;365718;27/10/2005;1;61;2
4;1;365718;01/06/2008;1;154;2
4;1;365718;01/05/2010;1;156;2
4;1;371564;15/12/2004;1;60;3
4;1;376224;01/12/2005;1;51;1
4;1;376268;01/12/2005;1;204;1
4;1;376268;15/04/2006;1;215;2
282;1;376560;01/06/2006;1;60;1
282;1;376560;01/06/2007;1;61;2
282;1;376560;27/10/2008;1;58;2
282;1;376560;01/02/2013;1;59;2
282;1;376560;01/08/2014;1;172;2
8;1;376862;10/10/2006;1;69;1
8;1;376995;01/12/2006;1;181;1
282;1;377248;15/03/2007;1;178;1
282;1;377248;15/03/2008;1;58;2
282;1;377248;01/04/2010;1;59;2
4;1;377735;08/10/2007;1;175;1
4;1;377795;01/11/2007;1;175;1
6;1;378278;15/05/2008;1;51;1
6;1;378278;14/07/2008;1;60;2
6;1;378278;15/05/2009;1;61;2
6;1;378278;20/06/2016;1;58;2
6;1;378278;01/03/2017;1;59;2
6;1;378278;02/04/2018;1;171;2
8;1;378566;05/09/2008;1;68;1
282;1;379038;27/04/2009;1;60;1
282;1;379038;27/04/2010;1;61;2
282;1;379038;01/06/2010;1;58;2
282;1;379038;01/09/2011;1;59;2
4;1;379083;01/06/2009;1;264;1
4;1;379083;01/09/2009;1;17;11
4;1;379083;01/12/2009;1;15;2
4;1;379677;23/07/2020;1;26;4
4;1;379677;08/12/2020;1;14;2
276;1;379762;12/03/2010;1;120;1
276;1;379762;02/05/2018;1;186;2
8;1;380580;01/02/2011;1;60;1
8;1;380580;01/02/2012;1;61;12
8;1;380580;10/05/2012;1;59;2
8;1;380580;11/09/2012;1;269;2
282;1;381541;13/12/2011;1;178;1
6;1;381701;01/03/2012;1;175;1
6;1;381701;01/11/2012;1;60;2
6;1;381701;01/03/2013;1;61;2
6;1;381701;01/03/2017;1;58;2
6;1;381701;01/04/2019;1;59;2
4;1;382976;22/04/2013;1;175;1
4;1;382976;02/12/2013;1;60;2
4;1;382976;01/04/2014;1;61;2
4;1;382976;01/06/2015;1;173;2
1629;1;383056;03/05/2013;1;279;1
6;1;384172;16/04/2014;1;175;1
6;1;384172;01/09/2014;1;60;2
6;1;384172;01/04/2015;1;61;2
