codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_nova_empresa;codigo_novo_cadastro;codigo_nova_filial;tipo_admissao;numero_ficha_registro;tipo_admissao_colaborador
8;1;80087;27/05/1999;8;80087;001;2;0;1
8;1;80088;25/06/1999;8;80088;013;2;0;1
8;1;80090;01/07/1999;8;80090;013;2;0;1
8;1;80090;02/06/1999;8;80090;013;2;0;1
8;1;80091;06/07/1999;8;80091;217;2;0;1
8;1;80092;11/06/1999;8;80092;013;2;0;1
8;1;80093;07/06/1999;8;80093;093;2;0;1
8;1;80094;15/06/1999;8;80094;071;2;0;1
8;1;80095;15/06/1999;8;80095;071;2;0;1
8;1;80096;20/07/1999;8;80096;084;2;0;1
4;1;80097;02/08/1999;4;80097;001;2;0;1
4;1;80098;02/08/1999;4;80098;001;2;0;1
8;1;80099;02/08/1999;8;80099;013;2;0;1
8;1;80100;13/07/1999;8;80100;061;2;0;1
8;1;80101;09/07/1999;8;80101;061;2;0;1
8;1;80102;16/11/1999;8;80102;001;2;0;1
8;1;80103;08/11/1999;8;80103;127;2;0;1
8;1;80104;25/11/1999;8;80104;005;2;0;1
8;1;80105;22/11/1999;8;80105;255;2;0;1
8;1;80106;01/11/1999;8;80106;061;2;0;1
8;1;80107;15/12/1999;8;80107;013;2;0;1
8;1;80108;17/12/1999;8;80108;217;2;0;1
8;1;80109;15/12/1999;8;80109;240;2;0;1
8;1;80110;22/12/1999;8;80110;255;2;0;1
8;1;80111;04/12/2000;8;80111;001;2;0;1
8;1;80111;10/01/2000;8;80111;001;2;0;1
8;1;80112;03/12/1999;8;80112;067;2;0;1
8;1;80113;07/12/1999;8;80113;252;2;0;1
8;1;80114;16/02/2000;8;80114;005;2;0;1
8;1;80115;07/02/2000;8;80115;093;2;0;1
8;1;80116;09/03/2000;8;80116;217;2;0;1
8;1;80117;01/06/2000;8;80117;217;2;49;1
8;1;80118;02/10/2000;8;80118;196;2;0;1
8;1;80120;01/11/2000;8;80120;071;2;0;1
8;1;80121;07/11/2000;8;80121;025;2;0;1
8;1;80122;07/11/2000;8;80122;025;2;0;1
8;1;80123;07/11/2000;8;80123;025;2;0;1
8;1;80124;13/11/2000;8;80124;071;2;0;1
8;1;80125;24/11/2000;8;80125;001;2;0;1
8;1;80126;04/12/2000;8;80126;001;2;0;1
8;1;80127;20/12/2000;8;80127;058;2;1;1
8;1;80128;05/02/2001;8;80128;041;2;0;1
8;1;80129;09/03/2001;8;80129;025;2;0;1
8;1;80130;01/04/2001;8;80130;025;2;0;1
8;1;80131;18/05/2001;8;80131;099;2;0;1
8;1;80132;02/08/2001;8;80132;025;2;0;1
8;1;80133;06/08/2001;8;80133;058;2;0;1
8;1;80134;01/09/2001;8;80134;081;2;0;1
8;1;80135;01/11/2001;8;80135;061;2;0;1
8;1;80136;16/11/2001;8;80136;025;2;0;1
8;1;80137;27/11/2001;8;80137;253;2;0;1
8;1;80138;27/11/2001;8;80138;253;2;0;1
8;1;80139;24/11/2001;8;80139;175;2;0;1
8;1;80140;24/11/2001;8;80140;175;2;0;1
4;1;80141;20/11/2001;4;80141;001;2;0;1
8;1;80142;28/11/2001;8;80142;047;2;0;1
8;1;80143;27/11/2001;8;80143;047;2;0;1
8;1;80144;28/11/2001;8;80144;047;2;0;1
8;1;80145;27/11/2001;8;80145;047;2;0;1
8;1;80146;28/11/2001;8;80146;047;2;0;1
8;1;80147;27/11/2001;8;80147;294;2;0;1
8;1;80148;27/11/2001;8;80148;294;2;0;1
8;1;80149;27/11/2001;8;80149;174;2;0;1
8;1;80150;27/11/2001;8;80150;174;2;0;1
8;1;80151;27/11/2001;8;80151;174;2;0;1
8;1;80152;27/11/2001;8;80152;174;2;0;1
8;1;80153;27/11/2001;8;80153;174;2;0;1
