codigo_empresa;codigo_centro_custo;nome_centro_custo;data_criacao;data_extincao;texto_centro_custo
8;159;FILIAL  159 - PASSO FUNDO;01/01/1980;;159
8;160;FILIAL  160 - CURITIBANOS;01/01/1980;;160
8;162;FILIAL  162 - PORTO ALEGRE;01/01/1980;;162
8;163;FILIAL  163 - CRUZ ALTA;01/01/1980;;163
8;167;FILIAL  167 - CACADOR;01/01/1980;;167
8;169;FILIAL  169 - CARAZINHO;01/01/1980;;169
8;171;FILIAL  171 - SAO JOSE;01/01/1980;;171
8;174;FILIAL  174 - CRICIUMA;01/01/1980;;174
8;175;FILIAL  175 - JOINVILLE;01/01/1980;;175
8;176;FILIAL  176 - PORTO ALEGRE;01/01/1980;;176
8;177;FILIAL  177 - ROSARIO DO SUL;01/01/1980;;177
8;180;FILIAL  180 - CURITIBA;01/01/1980;;180
8;181;FILIAL  181 - FRANCISCO BELTRAO;01/01/1980;;181
8;182;FILIAL  182 - CASCAVEL;01/01/1980;;182
8;183;FILIAL  183 - ALEGRETE;01/01/1980;;183
8;184;FILIAL  184 - BAGE;01/01/1980;;184
8;185;FILIAL  185 - PORTO ALEGRE;01/01/1980;;185
8;186;FILIAL  186 - SANTA ROSA;01/01/1980;;186
8;187;FILIAL  187 - LAGOA VERMELHA;01/01/1980;;187
8;188;FILIAL  188 - MARAU;01/01/1980;;188
8;189;FILIAL  189 - CANOAS;01/01/1980;;189
8;190;FILIAL  190 - SAO BORJA;01/01/1980;;190
8;191;FILIAL  191 - NOVO HAMBURGO;01/01/1980;;191
8;192;FILIAL  192 - DIONISIO CERQUEIRA;01/01/1980;;192
8;193;FILIAL  193 - DOM PEDRITO;01/01/1980;;193
8;194;FILIAL  194 - CASCAVEL;01/01/1980;;194
8;196;FILIAL  196 - CACAPAVA DO SUL;01/01/1980;;196
8;197;FILIAL  197 - ALVORADA;01/01/1980;;197
8;198;FILIAL  198 - BAGE;01/01/1980;;198
8;199;FILIAL  199 - SANTIAGO;01/01/1980;;199
8;201;FILIAL  201 - GRAVATAI;01/01/1980;;201
8;202;FILIAL  202 - SANTO ANGELO;01/01/1980;;202
8;203;FILIAL  203 - JOINVILLE;01/01/1980;;203
8;205;FILIAL  205 - JAGUARAO;01/01/1980;;205
8;206;FILIAL  206 - ITAQUI;01/01/1980;;206
8;208;FILIAL  208 - SAO JOSE;01/01/1980;;208
8;209;FILIAL  209 - SAO LEOPOLDO;01/01/1980;;209
8;210;FILIAL  210 - FLORIANOPOLIS;01/01/1980;;210
8;211;FILIAL  211 - FOZ DO IGUACU;01/01/1980;;211
8;212;FILIAL  212 - PORTO ALEGRE;01/01/1980;;212
8;215;FILIAL  215 - CAXIAS DO SUL;01/01/1980;;215
8;216;FILIAL  216 - NOVO HAMBURGO;01/01/1980;;216
8;217;FILIAL  217 - BLUMENAU;01/01/1980;;217
8;219;FILIAL  219 - LAGOA VERMELHA;01/01/1980;;219
8;220;FILIAL  220 - MAFRA;01/01/1980;;220
8;222;FILIAL  222 - PONTA GROSSA;01/01/1980;;222
8;224;FILIAL  224 - PONTA GROSSA;01/01/1980;;224
8;227;FILIAL  227 - CACADOR;01/01/1980;;227
8;228;FILIAL  228 - SANTANA DO LIVRAMENTO;01/01/1980;;228
8;229;FILIAL  229 - VENANCIO AIRES;01/01/1980;;229
8;230;FILIAL  230 - SAO LUIZ GONZAGA;01/01/1980;;230
8;231;FILIAL  231 - TUBARAO;01/01/1980;;231
8;233;FILIAL  233 - URUGUAIANA;01/01/1980;;233
8;234;FILIAL  234 - LAGES;01/01/1980;;234
8;235;FILIAL  235 - JOACABA;01/01/1980;;235
8;236;FILIAL  236 - CANOINHAS;01/01/1980;;236
8;238;FILIAL  238 - JOINVILLE;01/01/1980;;238
8;239;FILIAL  239 - SANTA MARIA;01/01/1980;;239
8;240;FILIAL  240 - LAJEADO;01/01/1980;;240
8;241;FILIAL  241 - ERECHIM;01/01/1980;;241
8;242;FILIAL  242 - ALEGRETE;01/01/1980;;242
8;243;FILIAL  243 - SAO GABRIEL;01/01/1980;;243
8;244;FILIAL  244 - SOLEDADE;01/01/1980;;244
8;245;FILIAL  245 - PASSO FUNDO;01/01/1980;;245
8;246;FILIAL  246 - ALEGRETE;01/01/1980;;246
8;247;FILIAL  247 - BAGE;01/01/1980;;247
8;248;FILIAL  248 - SANTANA DO LIVRAMENTO;01/01/1980;;248
8;249;FILIAL  249 - SANTO ANGELO;01/01/1980;;249
8;250;FILIAL  250 - PONTA GROSSA;01/01/1980;;250
8;251;FILIAL  251 - ARARANGUA;01/01/1980;;251
8;252;FILIAL  252 - IJUI;01/01/1980;;252
8;253;FILIAL  253 - ITAJAI;01/01/1980;;253
8;254;FILIAL  254 - PELOTAS;01/01/1980;;254
8;255;FILIAL  255 - SAO LEOPOLDO;01/01/1980;;255
8;256;FILIAL  256 - SANTA MARIA;01/01/1980;;256
8;257;FILIAL  257 - SANTANA DO LIVRAMENTO;01/01/1980;;257
8;258;FILIAL  258 - PASSO FUNDO;01/01/1980;;258
8;259;FILIAL  259 - DOM PEDRITO;01/01/1980;;259
8;260;FILIAL  260 - CONCORDIA;01/01/1980;;260
8;261;FILIAL  261 - CACHOEIRA DO SUL;01/01/1980;;261
8;262;FILIAL  262 - CAXIAS DO SUL;01/01/1980;;262
8;263;FILIAL  263 - ITAQUI;01/01/1980;;263
8;264;FILIAL  264 - PANAMBI;01/01/1980;;264
8;265;FILIAL  265 - SAO BORJA;01/01/1980;;265
8;266;FILIAL  266 - LAGES;01/01/1980;;266
8;267;FILIAL  267 - CANOINHAS;01/01/1980;;267
8;268;FILIAL  268 - SANTA CRUZ DO SUL;01/01/1980;;268
8;269;FILIAL  269 - ALEGRETE;01/01/1980;;269
8;270;FILIAL  270 - PORTO ALEGRE;01/01/1980;;270
