codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;dias_aviso_indenizado;dias_aviso_reavido;dias_saldo_salarios;dias_fim_contrato_antecipado;salario_final_aviso;saldo_anterior_fgts;homologacao_dissidio_coletivo;motivo_complementar;salario_base;integrar_rescisao;aviso_previo;dias_aviso_indenizado_acrescimo;dias_aviso_reavido_acrescimo;termo_quitacao_trct
8;1;194719;16/09/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;196797;14/11/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;196797;20/11/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;197254;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;197866;24/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;198455;26/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;198510;01/01/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;199575;16/09/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;199851;14/05/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;199907;01/01/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;199958;26/06/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;200221;19/05/2016;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;200719;26/06/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;200956;23/12/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;202274;28/11/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;202941;10/05/2018;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;203602;28/09/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;205079;02/09/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;205541;26/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;206687;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;207128;24/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;207900;28/09/2020;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;207900;21/08/2020;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;209694;10/06/2003;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;212768;02/02/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;212954;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;212997;13/03/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;213110;09/10/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;213608;06/02/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;213608;01/01/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;213659;28/09/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;214604;19/05/2016;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;214604;05/12/2016;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;214892;15/05/2003;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;214990;11/10/2012;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;214990;25/04/2013;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;215601;16/08/1999;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;215627;24/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;215848;08/05/2018;0;0;0;0;0;0;;;0;0;1;0;0;0
8;1;216259;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;216364;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;216411;31/08/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;216411;31/07/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;217077;13/11/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;217557;30/04/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;217638;01/01/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;218758;30/04/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;218791;24/09/1996;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;218880;16/06/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;219240;31/10/1998;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;219509;09/10/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
8;1;219606;02/09/1997;0;0;0;0;0;0;;;0;0;3;0;0;0
