codigo_empresa;tipo_colaborador;cadastro_colaborador;data_pagamento;codigo_tabela_eventos;codigo_evento;referencia_evento;valor_evento
8;1;135186;14/10/2008;1;850;9,00;1311,38
8;1;135186;14/10/2008;1;900;1,00;145,71
8;1;135186;14/10/2008;1;950;30,00;1748,51
8;1;135186;14/10/2008;1;1650;0,00;0,00
8;1;135186;14/10/2008;1;2000;8,00;32,63
8;1;135186;14/10/2008;1;2003;9,00;118,02
8;1;135186;14/10/2008;1;2014;15,00;73,24
8;1;135186;14/10/2008;1;2050;0,00;4,00
8;1;135186;14/10/2008;1;2505;0,00;1457,09
8;1;137987;13/11/2009;1;200;11,00;224,99
8;1;137987;13/11/2009;1;222;6,00;27,00
8;1;137987;13/11/2009;1;365;0,00;0,58
8;1;137987;13/11/2009;1;366;0,00;5,82
8;1;137987;13/11/2009;1;403;0,00;7,58
8;1;137987;13/11/2009;1;650;12,00;687,23
8;1;137987;13/11/2009;1;651;6,00;343,62
8;1;137987;13/11/2009;1;659;0,00;343,62
8;1;137987;13/11/2009;1;850;2,00;114,54
8;1;137987;13/11/2009;1;900;1,00;57,27
8;1;137987;13/11/2009;1;950;30,00;687,23
8;1;137987;13/11/2009;1;2000;8,00;21,27
8;1;137987;13/11/2009;1;2003;8,00;9,16
8;1;137987;13/11/2009;1;2505;0,00;171,81
8;1;139653;17/08/2010;1;200;10,00;1058,33
8;1;139653;17/08/2010;1;220;0,00;886,67
8;1;139653;17/08/2010;1;222;4,00;155,60
8;1;139653;17/08/2010;1;381;0,00;868,28
8;1;139653;17/08/2010;1;650;12,00;6301,80
8;1;139653;17/08/2010;1;651;0,00;0,00
8;1;139653;17/08/2010;1;659;0,00;2100,60
8;1;139653;17/08/2010;1;850;7,00;3676,05
8;1;139653;17/08/2010;1;900;1,00;525,15
8;1;139653;17/08/2010;1;950;30,00;6301,80
8;1;139653;17/08/2010;1;2000;11,00;231,06
8;1;139653;17/08/2010;1;2003;11,00;381,41
8;1;139653;17/08/2010;1;2005;15,00;168,05
8;1;139653;17/08/2010;1;2505;0,00;4201,20
8;1;140686;09/11/2005;1;200;9,00;1047,90
8;1;140686;09/11/2005;1;220;0,00;1119,90
8;1;140686;09/11/2005;1;222;5,00;216,78
8;1;140686;09/11/2005;1;650;12,00;7948,60
8;1;140686;09/11/2005;1;651;0,00;1987,14
8;1;140686;09/11/2005;1;659;0,00;3311,91
8;1;140686;09/11/2005;1;850;10,00;6623,83
8;1;140686;09/11/2005;1;900;1,00;662,38
8;1;140686;09/11/2005;1;950;30,00;7948,60
8;1;140686;09/11/2005;1;2000;11,00;262,30
8;1;140686;09/11/2005;1;2003;11,00;293,50
8;1;140686;09/11/2005;1;2004;0,00;108,64
8;1;140686;09/11/2005;1;2005;0,00;1393,30
8;1;140686;09/11/2005;1;2014;0,00;3113,40
8;1;140686;09/11/2005;1;2055;0,00;0,00
8;1;140686;09/11/2005;1;2505;0,00;7286,21
8;1;140686;25/11/2005;1;1955;0,00;14522,00
8;1;140686;25/11/2005;1;2004;0,00;3528,20
8;1;142689;11/04/2006;1;200;10,00;238,88
8;1;142689;11/04/2006;1;220;0,00;166,33
8;1;142689;11/04/2006;1;222;4,00;32,42
8;1;142689;11/04/2006;1;651;10,00;1094,08
8;1;142689;11/04/2006;1;659;0,00;364,69
8;1;142689;11/04/2006;1;850;3,00;328,22
8;1;142689;11/04/2006;1;900;1,00;109,41
8;1;142689;11/04/2006;1;950;30,00;1312,89
8;1;142689;11/04/2006;1;2000;7,65;33,48
8;1;142689;11/04/2006;1;2003;7,65;25,11
8;1;142689;11/04/2006;1;2014;0,00;11,29
8;1;142689;11/04/2006;1;2453;0,00;14,33
8;1;142689;11/04/2006;1;2505;0,00;437,63
4;1;145459;23/11/2006;1;200;23,00;1964,97
4;1;145459;23/11/2006;1;220;0,00;2057,73
4;1;145459;23/11/2006;1;222;5,00;402,27
4;1;145459;23/11/2006;1;235;0,00;10494,00
4;1;145459;23/11/2006;1;650;12,00;5771,70
4;1;145459;23/11/2006;1;651;0,00;0,00
4;1;145459;23/11/2006;1;659;0,00;1923,90
4;1;145459;23/11/2006;1;850;11,00;5290,73
4;1;145459;23/11/2006;1;2000;11,00;308,20
4;1;145459;23/11/2006;1;2003;11,00;308,20
4;1;145459;23/11/2006;1;2004;0,00;3445,88
