codigo_empresa;codigo_filial;razao_social;nome_filial;endereco_filial;complemento_endereco;numero_endereco;codigo_bairro;estado;codigo_cidade;codigo_ddi_telefone;codigo_ddd_telefone;numero_telefone;tipo_filial;tipo_inscricao;numero_inscricao;codigo_cei;inscricao_estadual;inscricao_municipal;cnae_fiscal;codigo_nac_atv_economica;inscricao_cno;inscricao_caepf;cnae_fiscal_preponderante;tipo_caepf;tipo_logradouro;codigo_cep_filial;nome_empresarial_completo
8;063;GRAZZIOTIN S/A;GRZ - SAO JOSE 063;RUA GERONCIO THIVES;SALA 01 201;1079;2738;SC;4216602;55;0;;F;1;092012467006372;;;;4781400;5232;;;4781400;1;R;88117200;GRAZZIOTIN S A SAO JOSE           
8;064;GRAZZIOTIN S/A;PRM - CANGUCU 064;OSVALDO ARANHA;;172;3531;RS;4304507;55;0;;F;1;092012467006453;;;;4781400;5232;;;4781400;1;R;96600000;GRAZZIOTIN S A CANGUCU            
8;065;GRAZZIOTIN S/A;PRM - PAROBE 065;CORONEL JOAO CORREA;;127;2794;RS;4314050;55;0;;F;1;092012467006534;;;;4781400;5232;;;4781400;1;R;95630000;GRAZZIOTIN S A PAROBE             
8;066;GRAZZIOTIN S/A;TOT - CONCORDIA 066;ORESTES FARINA;;205;267;SC;4204301;55;0;;F;1;092012467006615;;;;4759899;5232;;;4759899;1;R;89700071;GRAZZIOTIN S A CONCORDIA          
8;067;GRAZZIOTIN S/A;TOT - CACHOEIRINHA 067;AV.GENERAL FLORES DA CUNHA;;266;390;RS;4303103;55;0;;F;1;092012467006704;;;;4781400;5232;;;4781400;1;R;94910000;GRAZZIOTIN S A CACHOEIRINHA       
8;068;GRAZZIOTIN S/A;TOT - FREDERICO WESTPHALEN 068;LUIZ MILANI;SL COMER 02;650;4219;RS;4308508;55;0;;F;1;092012467006887;;;;4759899;5232;;;4759899;1;AV;98400000;GRAZZIOTIN S A FRED.WESTPHALEN    
8;069;GRAZZIOTIN S/A;TOT - PATO BRANCO 069;AV.BRASIL;;45;141;PR;4118501;55;0;;F;1;092012467006968;;;;4781400;5232;;;4781400;1;R;85501000;GRAZZIOTIN S A PATO BRANCO        
8;070;GRAZZIOTIN S/A;GRZ - CURITIBA 070;RUA JOSE LOUREIRO;;603;1611;PR;4106902;55;0;;F;1;092012467007000;;;;4781400;5232;;;4781400;1;R;90010010;GRAZZIOTIN S A CURITIBA           
8;071;GRAZZIOTIN S/A;GRZ - PORTO ALEGRE 071;RUA VOLUNTARIOS DA PATRIA;E 310;294;52;RS;4314902;55;0;;F;1;092012467007182;;;;4781400;5232;;;4781400;1;R;90030001;GRAZZIOTIN S A POA VOLUNTARIOS    
8;072;GRAZZIOTIN S/A;GRZ - NOVO HAMBURGO 072;AV PEDRO ADAMS FILHO;;5495;857;RS;4313409;55;0;;F;1;092012467007263;;;;4781400;5232;;;4781400;1;R;93310560;GRAZZIOTIN S A NOVO HAMBURGO      
