codigo_empresa;tipo_colaborador;cadastro_colaborador;data_admissao;tipo_admissao;indicativo_admissao;tipo_inscricao;numero_inscricao_anterior;data_inicio_vinculo;matricula_trabalhador;cedido_onus;codigo_categoria_esocial;ressarcimento_onus;recebe_seguro
8;1;275191;02/10/1995;2;1;;;02/10/1995;275191;;1;N;1
8;1;275204;16/10/1995;2;1;;;16/10/1995;275204;;1;N;1
8;1;275212;16/10/1995;2;1;;;16/10/1995;275212;;1;N;1
8;1;275221;09/10/1995;2;1;;;09/10/1995;275221;;1;N;1
8;1;275239;16/10/1995;2;1;;;16/10/1995;275239;;1;N;1
8;1;275247;02/10/1995;2;1;;;02/10/1995;275247;;1;N;1
8;1;275255;18/10/1995;2;1;;;18/10/1995;275255;;1;N;1
8;1;275263;05/10/1995;2;1;;;05/10/1995;275263;;1;N;1
8;1;275280;13/10/1995;2;1;;;13/10/1995;275280;;1;N;1
8;1;275298;13/10/1995;2;1;;;13/10/1995;275298;;1;N;1
8;1;275310;02/10/1995;2;1;;;02/10/1995;275310;;1;N;1
8;1;275328;02/10/1995;2;1;;;02/10/1995;275328;;1;N;1
8;1;275336;16/10/1995;2;1;;;16/10/1995;275336;;1;N;1
8;1;275344;23/10/1995;2;1;;;23/10/1995;275344;;1;N;1
8;1;275352;10/10/1995;2;1;;;10/10/1995;275352;;1;N;1
8;1;275361;02/10/1995;2;1;;;02/10/1995;275361;;1;N;1
8;1;275379;05/10/1995;2;1;;;05/10/1995;275379;;1;N;1
8;1;275387;16/10/1995;2;1;;;16/10/1995;275387;;1;N;1
8;1;275395;02/10/1995;2;1;;;02/10/1995;275395;;1;N;1
8;1;275409;06/10/1995;2;1;;;06/10/1995;275409;;1;N;1
8;1;275417;09/10/1995;2;1;;;09/10/1995;275417;;1;N;1
8;1;275425;20/10/1995;2;1;;;20/10/1995;275425;;1;N;1
8;1;275433;11/10/1995;2;1;;;11/10/1995;275433;;1;N;1
8;1;275450;09/10/1995;2;1;;;09/10/1995;275450;;1;N;1
8;1;275468;09/10/1995;2;1;;;09/10/1995;275468;;1;N;1
8;1;275476;16/10/1995;2;1;;;16/10/1995;275476;;1;N;1
8;1;275484;02/10/1995;2;1;;;02/10/1995;275484;;1;N;1
8;1;275492;16/10/1995;2;1;;;16/10/1995;275492;;1;N;1
8;1;275506;16/10/1995;2;1;;;16/10/1995;275506;;1;N;1
8;1;275514;17/10/1995;2;1;;;17/10/1995;275514;;1;N;1
8;1;275522;09/10/1995;2;1;;;09/10/1995;275522;;1;N;1
8;1;275531;02/10/1995;2;1;;;02/10/1995;275531;;1;N;1
8;1;275549;02/10/1995;2;1;;;02/10/1995;275549;;1;N;1
8;1;275557;16/10/1995;2;1;;;16/10/1995;275557;;1;N;1
8;1;275565;13/10/1995;2;1;;;13/10/1995;275565;;1;N;1
8;1;275573;18/10/1995;2;1;;;18/10/1995;275573;;1;N;1
8;1;275590;16/10/1995;2;1;;;16/10/1995;275590;;1;N;1
8;1;275603;07/10/1995;2;1;;;07/10/1995;275603;;1;N;1
8;1;275620;16/10/1995;2;1;;;16/10/1995;275620;;1;N;1
8;1;275638;16/10/1995;2;1;;;16/10/1995;275638;;1;N;1
8;1;275646;23/10/1995;2;1;;;23/10/1995;275646;;1;N;1
8;1;275654;23/10/1995;2;1;;;23/10/1995;275654;;1;N;1
8;1;275662;23/10/1995;2;1;;;23/10/1995;275662;;1;N;1
8;1;275671;23/10/1995;2;1;;;23/10/1995;275671;;1;N;1
8;1;275689;03/10/1995;2;1;;;03/10/1995;275689;;1;N;1
8;1;275697;23/10/1995;2;1;;;23/10/1995;275697;;1;N;1
8;1;275701;01/11/1995;2;1;;;01/11/1995;275701;;1;N;1
8;1;275719;03/11/1995;2;1;;;03/11/1995;275719;;1;N;1
8;1;275727;01/11/1995;2;1;;;01/11/1995;275727;;1;N;1
8;1;275735;01/11/1995;2;1;;;01/11/1995;275735;;1;N;1
8;1;275743;01/11/1995;2;1;;;01/11/1995;275743;;1;N;1
8;1;275760;03/11/1995;2;1;;;03/11/1995;275760;;1;N;1
8;1;275778;01/11/1995;2;1;;;01/11/1995;275778;;1;N;1
8;1;275786;01/11/1995;2;1;;;01/11/1995;275786;;1;N;1
8;1;275794;01/11/1995;2;1;;;01/11/1995;275794;;1;N;1
8;1;275808;06/11/1995;2;1;;;06/11/1995;275808;;1;N;1
8;1;275816;06/11/1995;2;1;;;06/11/1995;275816;;1;N;1
8;1;275824;06/11/1995;2;1;;;06/11/1995;275824;;1;N;1
8;1;275832;06/11/1995;2;1;;;06/11/1995;275832;;1;N;1
8;1;275841;06/11/1995;2;1;;;06/11/1995;275841;;1;N;1
8;1;275859;01/11/1995;2;1;;;01/11/1995;275859;;1;N;1
8;1;275867;01/11/1995;2;1;;;01/11/1995;275867;;1;N;1
8;1;275875;09/11/1995;2;1;;;09/11/1995;275875;;1;N;1
8;1;275883;06/11/1995;2;1;;;06/11/1995;275883;;1;N;1
8;1;275905;03/11/1995;2;1;;;03/11/1995;275905;;1;N;1
8;1;275913;01/11/1995;2;1;;;01/11/1995;275913;;1;N;1
8;1;275930;06/11/1995;2;1;;;06/11/1995;275930;;1;N;1
