codigo_estrutura_cargos;codigo_cargo;titulo_reduzido;titulo_completo;numero_cbo_2002;data_criacao;data_extincao;cnh_obrigatorio;OCLOBR;sigla_conselho_profissional
1;204;AUX. DE LOJA TEMPORARIO;AUX. DE LOJA TEMPORARIO;3541-25;;;N;N;
1;205;AUX.DE LOJA TEMPORARIO  CIE-;AUX.DE LOJA TEMPORARIO  CIE-;3541-25;;;N;N;
1;206;AUXILIAR DE LOJA (POR MENOS);AUXILIAR DE LOJA (POR MENOS);3541-25;;;N;N;
1;208;AUX.ESCRITORIO (FRG);AUX.ESCRITORIO (FRG);4110-05;;;N;N;
1;209;APRENDIZ DE AUX.ESCRIT. FRANCO;APRENDIZ DE AUX.ESCRIT. FRANCO;4110-05;;;N;N;
1;210;AUXILIAR DE LOJA I;AUXILIAR DE LOJA I;3541-25;;;N;N;
1;211;AUX.LOJA TEMP.AUX.LOJA PM;AUX.LOJA TEMP.AUX.LOJA PM;3541-25;;;N;N;
1;212;CIE-E AUX.LOJA P.M;CIE-E AUX.LOJA P.M;3541-25;;;N;N;
1;213;APRENDIZ *AUXILIAR DE LOJA*;APRENDIZ *AUXILIAR DE LOJA*;3541-25;;;N;N;
1;214;EMPACOTADORA;EMPACOTADORA;3541-25;;;N;N;
1;215;VENDEDOR     (TOTTAL);VENDEDOR     (TOTTAL);5211-10;;;N;N;
1;216;APRENDIZ - VENDAS;APRENDIZ - VENDAS;5211-10;;;N;N;
1;217;CIE-E VENDEDOR TOTTAL;CIE-E VENDEDOR TOTTAL;5211-10;;;N;N;
1;218;*AUX.LOJA TEMP.VENDEDOR TOTT;*AUX.LOJA TEMP.VENDEDOR TOTT;5211-10;;;N;N;
1;219;VENDEDOR MODA FEMININA;VENDEDOR MODA FEMININA;5211-10;;;N;N;
1;221;APRENDIZ DE VENDEDOR FRANCO;APRENDIZ DE VENDEDOR FRANCO;5211-10;;;N;N;
1;222;CIEE-E DE VENDEDOR FG;CIEE-E DE VENDEDOR FG;5211-10;;;N;N;
1;223;VEND.MAT.DE CONSTRUCAO;VEND.MAT.DE CONSTRUCAO;5211-10;;;N;N;
1;224;VENDEDOR M/C;VENDEDOR M/C;5211-10;;;N;N;
