45;1954;VICENTE  SOBRINHO;
45;1955;CAMILO GOMES;
12;1956;PQ. DOS ANJOS;
53;1957;CAROLINA;
58;1958;PICADAS DO NORTE;
12;1959;CENTRO;
19;1960;FLORESTA;
10;1961;BRUSET;
2;1962;JOAO GOULART, S/N;
12;1963;V. MARROCOS;
62;1964;JARDIM ATLANTICO;
27;1965;JD. SALSO;
31;1966;FEY;
6;1967;ALTO MACHADO;
108;1968;PARQUE VERDE;
52;1969;SAO JOAO BATISTA;
1;1970;BRANQUINHA;
1;1971;N S APARECIDA;
40;1972;SANTA TERESINHA;
62;1973;M. VELHO;
186;1974;MARILIO DIAS;
3;1975;M. NORTE;
406;1976;CENTRO;
40;1977;STA. RITA;
53;1978;LINHARES;
45;1979;ESTRELA DALVA;
43;1980;ALCIONA;
2;1981;CAROLINA;
32;1982;SAO JUDAS TADEU;
57;1983;PROGRESSO;
1;1984;LEAO 13;
64;1985;ROSSONI;
2;1986;PASSO DAS TROPAS;
45;1988;PASSO DAS PEDRAS;
2;1989;VILA SANTOS;
33;1990;GUADALUPE;
2;1991;VALDEMAR RODRIGO;
125;1992;MONTANHA;
47;1993;JARDIM;
30;1994;31 DE MAIO;
186;1995;BOM RETIRO;
144;1996;CIDADE ALTA;
108;1997;14 DE NOVEMBRO;
226;1998;CENTRO;
97;1999;FONTOURA;
417;2000;ERICA;
75;2001;URUSSANGAS;
53;2002;PRADO;
71;2003;S. JOAQUIM;
2;2004;PERPETUO SOCORRO;
53;2006;N LIVRAMENTO;
83;2007;STO. ANTONIO;
27;2008;B. JESUS;
42;2009;PETROPOLIS;
90;2010;SAO FRANCISCO;
128;2011;RINCAO GAUCHO;
47;2012;SAO LUCAS;
53;2013;TABATINGA;
53;2014;NOVO LIVRAMENTO;
53;2015;PARQUE SAO JOSE;
53;2016;STA. CATARINA;
53;2017;JD. EUROPA;
53;2018;COHAB ARMOUR;
53;2019;BELA VISTA;
53;2020;INDUSTRIAL;
53;2021;VILA SOARES;
388;2022;VILA ISABEL;
53;2023;COHAB PLANALTO;
53;2024;MOISES VIANNA;
96;2025;BOA VISTA;
99;2026;BOA VISTA;
1;2027;BOM JESUS;
58;2028;BARREIRO;
46;2029;INDUSTRIARIOS;
71;2030;SAO BRAZ;
93;2031;INDUSTRIAL;
6;2032;WESTPHALEM;
93;2033;BELLO;
79;2035;VILA MARIA;
42;2036;KAISER;
132;2037;SANTA TEREZINHA;
87;2038;GRANJA ESPERANCA;
73;2039;JARDIM AMERCIAS;
71;2040;CRISTO REI;
25;2041;SAO FRANCISCO;
69;2043;BOA SAUDADE;
23;2044;JARDIM AMERICA;
436;2045;CENTRO;
27;2046;CEFER;
22;2047;STA. REGINA;
2;2048;MARTELETTE;
23;2049;VILA IOLANDA;
146;2050;PACHECOS;
210;2051;CENTRO;
442;2052;VILA NOVA;
22;2053;CIDADE NOVA;
74;2054;PERITTO;
47;2055;P. MEDICE;
65;2056;VENEZA;
91;2057;PANORAMA;
444;2058;FIGUEIRA;
134;2059;PEPERIGUACé;
58;2060;CATARINA II;
63;2061;ATLANTICO;
99;2062;TELLECHEC;
81;2063;CONEGO WALTER;
30;2064;DONA LUIZA;
105;2065;PASSO;
27;2066;LOMBA DO PINHEIRO;
42;2067;JAR. DAS HORTENCIAS;
1;2068;SANTA RITA;
45;2069;STA. FLORA;
83;2070;SANTO ANTONIO;
25;2071;SAO JOSE;
27;2072;P. DAS PEDRAS;
97;2073;PASSO FEIJO;
43;2074;BOA VISTA;
39;2075;P SCOPEL;
20;2076;BOSQUE;
180;2077;STA TEREZA;
59;2078;ALTO DA GLORIA;
96;2079;JD. BELA VISTA;
145;2081;ESTRELA;
71;2082;JOAO PAULO II;
60;2084;C. VALENCA;
3;2085;SANTO INACIO;
93;2086;REUNIDAS;
108;2087;GUARUJA;
101;2088;JD. ANGELICA;
52;2089;PARQUE MAUA;
45;2090;MASCARENHAS  A;
40;2091;STA. TEREZINHA;
131;2092;COQUEROS;
45;2093;POPULAR;
473;2094;NOVA REPUBLICA;
79;2095;DUQUE DE CAXIAS;
40;2096;EDUCACIONAL;
43;2097;VALDERES;
130;2098;EXPEDICIONARIO;
39;2101;STO. ANTONIO;
101;2102;SAO LUIZ;
76;2103;PROFELUB II;
45;2104;FLORESTA;
30;2105;CRISTO REI;
39;2106;STA. HELENA;
2;2107;P P MACHADO;
146;2108;JARDIM  ELDORADO;
63;2109;PRESIDENTE VARGAS;
22;2110;VILA MARIA;
417;2111;ZONA NORTE;
42;2112;S.PELEGRINO;
42;2113;D. RIZZO;
486;2114;CORDEIROS;
40;2115;VILA DIRCEU;
71;2116;S.B. MAGNO;
2;2117;FERNANDO FERRARI;
52;2118;COHAB - DUQUE;
33;2121;UNIVERSITARIO;
108;2122;PACAEMBU;
62;2123;BERTO CIRIO;
69;2124;LOMBA GRANDE;
210;2125;PAULISTA;
30;2126;STA. PAULA;
87;2127;VILA EUNICE;
30;2128;SANTA LUCIA;
38;2129;COHAB II;
27;2131;LOMABA DO PINHEIRO;
361;2132;ATAPURU;
144;2134;CHACARA;
10;2135;ELISABETH;
42;2136;RIO BRANCO;
79;2137;FRIGORIFICO;
43;2138;NOVA ESPERANCA;
169;2139;SANTA ROSA;
108;2140;MORUMBI;
121;2141;CENTRO;
186;2142;SOSSEGO;
2;2143;VILA OLIVEIRA;
9;2144;SANTO INACIO;
2;2145;N.S. DE LOURDES;
73;2146;AMADORI;
186;2148;AGUA VERDE;
417;2149;BELA VISTA;
23;2150;VILA C;
59;2152;JARDIM;
59;2153;PRENDA;
81;2154;OLARIA;
20;2156;ANGELA PRADO;
101;2157;SANTA AUGUSTA;
91;2158;SAO JOAO;
33;2159;TRIANGULO;
54;2162;KENEDY;
42;2163;CRISTO REDENTOR;
1;2164;VILA BERTHIER;
62;2168;GUAJUVIVAS;
54;2169;JARDIM AMERICA;
62;2171;MOINHO VELHO;
33;2172;MORRO GRANDE;
77;2175;PARQUE DAS ARVORES;
61;2176;JARDIM EUROPA;
81;2177;JARDIM DO FORTE;
42;2178;SANTA CATARINA;
19;2179;RODRIGUES;
60;2180;VIANOPOLIS;
62;2181;SAO LUIS;
226;2182;BERTO CIRIO;
27;2183;BAIRRO PARTENON;
145;2184;PROGRESSO;
105;2185;VILA CLEMENTINA;
433;2186;RECANTO DO SOL;
62;2187;N. SRA. DAS GRACAS;
27;2188;PASSO DORNELLES;
93;2190;GIOPPO;
438;2191;MOINHO;
125;2193;LOTEAMENTO MEDICOS;
45;2195;PASSO DO PRINCIPE;
119;2196;ENGENHO;
1;2197;LOT SAGRADA FAMILIA;
119;2198;COLUMBIA CITY;
23;2199;PORTAL DA FOZ;
69;2200;SANTO ANFONSO;
59;2201;VILA FLORES;
69;2202;IDEAL;
539;2203;SANTO ANTONIO;
131;2204;MORRO DAS PEDRAS;
72;2205;PROMORAR;
104;2206;CENTRO;
9;2207;ARROIO GRANDE;
541;2208;CENTRO;
9;2209;RIO PARDINHO;
77;2210;SANTA CRUZ;
104;2211;MONTE ALVERME, 3 DT;
77;2212;VILA CARLI;
77;2213;M. ALTO;
9;2214;VILA SCHULTZ;
77;2215;CUPERTINOPOLIS;
52;2216;SAO BORJA;
9;2217;MARGARIDA;
9;2219;MONTE VERDE;
77;2220;CONRRADINHO;
9;2221;LINHA SANTA CRUZ;
77;2222;STA. CRUZ;
9;2223;BOM FIM;
9;2224;VILA JARDIM;
104;2225;FAXINAL VELHO;
9;2226;V MARGARIDA;
97;2227;J APARECIDA;
62;2228;GUAJUARAS;
104;2229;VARZEA;
9;2230;ALIANCA;
77;2231;M. STA CRUZ;
2;2232;N.SRA. DO TRABALHO;
463;2233;CENTRO;
87;2234;NOVA CACHOEIRINHA;
73;2235;PINHEIRINHO;
133;2236;ITOUPAVA NORTE;
133;2237;ITOUPAVA CENTRAL;
10;2238;INTERIOR;
27;2239;INDEPENDENCIA;
12;2240;VILA NARA;
25;2242;VOLTA GRANDE;
30;2243;PARQUE AUTO ESTRADA;
146;2244;J. EUCALIPTUS;
45;2245;JARDIM MONTE CLARO;
45;2246;IPIRANGA;
99;2247;EMILIO BRANDT;
27;2248;BELA VISTA;
86;2249;PRIMAVERA;
30;2250;SANTA BARBARA;
2;2252;SANTA MARTA;
99;2253;IPIRANGA;
58;2254;BARREIRAS;
30;2255;JARDIM MONTE CARLO;
108;2256;PAULO GODOY;
12;2257;GRANVILE;
1;2258;VERGEIRO;
77;2259;VILA KENEDI;
137;2260;CORONEL CLAUDIO;
30;2261;STO. ANTONIO;
141;2263;INDIANOPOLIS;
69;2264;JARDIMA MAUA;
107;2265;ALVORADA;
2;2267;SAO JOAO BATISTA;
69;2268;BOA VISTA;
110;2269;DAS NACOES;
436;2270;RIO PEQUENO;
60;2271;VILA AGUSTA;
180;2272;TOBIAS;
64;2273;VILA INDUSTRIAL;
81;2274;FLORESTA;
40;2275;ALIANCA;
437;2276;CENTRO;
12;2277;VILA PLANALTINA;
70;2278;VALDEMAR GARCIA;
40;2279;BONINI I;
6;2280;BAIRRO COHAB;
168;2281;CENTRO;
123;2283;SANTA TECLA;
62;2284;VILA CERNE;
61;2286;SITIO FLORESTA;
27;2287;RUBEN BERTA;
83;2288;DEHON;
59;2289;CAMPO DA AVIACAO;
63;2290;ESPERAN¿A;
108;2291;ALTO ALEGRE;
58;2292;PONTA DE BAIXO;
30;2294;VILA PINHEIRO;
58;2295;JARDIM PINHEIROS;
195;2296;RONDONIA;
60;2297;STA. IZABEL;
62;2298;MARECHAL RONDON;
74;2299;BOSQUE;
27;2300;PARQUE MAIAS;
9;2301;STO INACIO;
145;2303;SAO JORGE;
186;2304;CAMPO D AGUA VERDE;
77;2305;JR. ARAUCARIA;
30;2308;VERANA;
69;2309;MUNDO NOVO;
145;2311;BAIRRO SIDERAL;
59;2312;JARDIM PETROPOLIS;
99;2314;SATANA;
596;2315;CENTRO;
76;2316;SENAI;
33;2317;VILA MARIA;
47;2318;UNIVERSITARIO;
59;2320;VILA BEATRIZ;
10;2321;SAO PAULO;
30;2323;PARQUE N.S DAS GRA¿A;
63;2325;PISCINA CLUBE;
42;2326;VALE VERDE;
108;2329;JARDIM CRISTAL;
9;2331;BELVEDERE;
30;2332;NUCLEO PITANGUI;
47;2333;ALVORADA;
69;2336;JARDIM MAUA;
133;2338;VELHA GRANDE;
606;2339;JOAO PAULO II;
108;2341;CANCELI;
77;2342;TRANCREDO NEVES;
611;2343;CENTRO;
612;2344;CRUZEIRO  DO SUL;
101;2345;UNIAO;
1;2346;SAO CRISTOVA;
61;2347;SANTA TEREZINHA;
73;2348;INDUSTRIAL;
27;2349;CAMPO NOVO;
43;2350;VILA COHAB;
40;2351;VILA VILABEL;
136;2352;VILA BATISTA;
30;2353;VILA RAQUEL;
107;2354;VILA NOVA;
101;2356;ZULEIMA;
61;2358;CRUZEIRO;
431;2359;BARRINHA;
1;2360;BOM RECREIO;
628;2361;PRIMAVERA;
131;2362;INGLESES;
9;2363;VERENA;
2;2364;CARMELO;
57;2365;CAPAO ANGICO;
32;2366;COREIROS;
46;2367;PARQUE EXPOSICAO;
30;2369;CHAPADA;
131;2370;CACHOEIRA;
61;2371;S. LOPES;
70;2372;ITAUMM;
69;2373;JARDIM MAUE;
104;2374;UNIVERSITARIO;
90;2375;NOVA CANDELARIA;
2;2376;QUADRA 89;
79;2377;GRUTA;
186;2379;CAMPO AGUA VERDE;
57;2381;JOAQUIM MILANO;
93;2382;BOM JESUS;
12;2383;P. CAVEIRA;
63;2384;USINA CEEE;
49;2389;AEROPORTO;
44;2390;SAO BORJA;
27;2391;GLORIA GRUTA;
6;2392;PARAISO;
38;2393;VILA NOVA;
40;2394;SANTA RITA;
108;2395;PAULO GOODY;
43;2396;ALCINA;
86;2397;VILA OLIMPICA;
52;2398;BORN;
154;2399;ARAUCARIA;
39;2400;SCAPEL;
39;2401;MEDIANEIRA;
1;2402;SECHI;
226;2403;CAJU;
644;2405;SAO JOSE;
44;2408;ITAXERE;
108;2409;CATARATAS;
108;2410;FLORESTA;
64;2411;INDUSTRIAL;
123;2412;BRIGIDA;
191;2414;VILA NOVA;
108;2415;UNIAO;
650;2416;COHAB II;
76;2418;MARINHO;
105;2420;KM 09;
22;2421;SANTA REGINA;
44;2422;TIVO;
140;2423;SANTA MARIA;
70;2424;N. BRASILIA;
70;2425;ESCOLHINHA;
69;2426;RINCAO DOS ILHEUS;
10;2428;BURTET;
22;2429;JARDIM DAS HORTENCIA;
1;2430;S JOAO DA BELA VISTA;
27;2431;HUMAITA;
180;2432;JARDIM LINDOIA;
27;2433;J. LEOPOLDINA;
70;2435;COSTA E SILVA;
30;2436;VIRA CRISTINA;
1;2437;FEY;
30;2438;JARDIM SABARA;
52;2439;SANTO ANDRE;
119;2440;SAO PAULO;
101;2441;PAULO DE FRONTIN;
62;2442;V. ROSA;
1;2443;VIA SUL;
63;2444;CANTELE;
63;2445;COHAB JK;
619;2446;CANGO;
59;2447;MAUA;
70;2448;SANTO ANTONIO;
42;2449;JARDIM ITALIA;
372;2451;CENTRO;
76;2452;BERNADETA;
