codigo_banco,codigo_agencia,nome_agencia,estado,codigo_cidade,digito_agencia
1;883;BCO.BRASIL AG - 883-4 - GRAVAT;RS;431410;4
1;885;SAO MARCOS;RS;431410;0
1;907;BCO.BRASIL AG 907-5 - CAPANEMA;RS;431410;5
1;919;DOIS VIZINHOS;RS;431410;9
1;957;BCO.BRASIL AG - 957-1 - PALMEI;RS;431410;1
1;966;BCO.BRASIL AG - 0966-0 - PIRAT;RS;431410;0
1;972;BCO.BRASIL AG: 972-5 - PRUDENT;RS;431410;5
1;996;XAXIM;RS;431410;2
1;1055;BARRACAO;RS;431410;3
1;1188;BCO.BRASIL AG 1188-6 - IGREJIN;RS;431410;6
1;1248;BCO.BRASIL AG-1248-3 - AZENHA;RS;431410;3
1;1249;BCO.BRASIL AG 1249-1 - CAMINHO;RS;431410;1
1;1276;BCO.BRASIL AG - 1276-9 - VOL.D;RS;431410;9
1;1292;CXA.FEDERAL AG 1292-AGUDO;RS;431410;
1;1355;BANCO DO BRASIL AG 1355-2 PIRA;RS;431410;2
1;1367;BANCO DO BRASIL AGENCIA - 1367;RS;431410;6
1;1368;BCO.BRASIL AG 1368-4 - BUTIA -;RS;431410;4
1;1371;BCO.BRASIL AG - 1371-4 CONSTAN;RS;431410;4
1;1372;BCO.BRASIL AG 1372-2 - CRISSIU;RS;431410;2
1;1373;BCO.BRASIL AG - 1373-0 - MACHA;RS;431410;0
1;1376;BANCO DO BRASIL AG - 1376-5 -;RS;431410;5
1;1377;BCO.BRASIL AG 1377-3 - SANTO C;RS;431410;3
1;1379;BCO.BRASIL AG 1379-X - SEBERI;RS;431410;X
1;1380;TRES COROAS;RS;431410;3
1;1382;BCO.BRASIL AG 1382-X -ABERLARD;RS;431410;X
1;1385;B.BRASIL AG - 1385-4 - DESCANS;RS;431410;4
1;1387;FRAIBURGO;RS;431410;0
1;1388;BCO.BRASIL AG-1388-9-GUARACIAB;RS;431410;9
1;1413;BCO.BRASIL AG- 1413-3 - SÃO JO;RS;431410;3
1;1434;BCO BRASIL AG 1434-6 - AMPERE-;RS;431410;6
1;1473;BCO.BRASIL AG 1473-7 - ARROIO;RS;431410;7
1;1474;BCO.BRASIL AG 1474-5 ARROIO DO;RS;431410;5
1;1477;BCO.BRASIL AG 1477-X - ARVOREZ;RS;431410;X
1;1484;BCO.BRASIL AG -1484-2 DR.MARIA;RS;431410;2
1;1487;BCO.BRASIL AG 1487-7 CAPUCHINH;RS;431410;7
1;1622;BANCO BRADESCO AG 1622-5 CAXIA;RS;431410;5
1;1701;CANOAS;RS;431410;9
1;1714;BCO.DO BRASIL AG - 1714-0 - XA;RS;431410;0
1;1756;BCO.BRASIL AG- 1756 - CASCA -;RS;431410;
1;1801;B.BRASIL AG - 1801-5 - CAXIAS;RS;431410;5
1;1867;BCO.BRASIL AG 1867-8 - PALMAS;RS;431410;8
1;1889;BCO.BRASIL AG 1889-9 - PORTO A;RS;431410;9
1;1899;BCO.BRASIL AG UNIVERSIDADE FED;RS;431410;6
1;2005;BCO.BRASIL AG- 2005-2 - CORONE;RS;431410;2
1;2006;BCO.BRASIL AG - 2006-0 - TENEN;RS;431410;0
1;2008;BCO.BRASIL AG 2008-7 - CORONEL;RS;431410;7
1;2020;BCO.BRASIL AG - 2020-6 - CRUZ;RS;431410;6
1;2043;BCO.BRASIL AG 2043-ERVAL SECO;RS;431410;5
1;2169;BCO.BRASIL AG 2169-5 - ITAPEJA;RS;431410;5
1;2189;BCO.BRASIL AG 2189-X - IVOTI R;RS;431410;X
1;2282;BCO.BRASIL AG 2282-9 -MARMELEI;RS;431410;9
1;2352;BANCO DO BRASIL AG -2352-3 - N;RS;431410;3
1;2450;BCO.BRASIL AG 2450-3 - PINHÃO;RS;431410;3
1;2478;BCO.BRASIL AG 2478-3 - PONTE A;RS;431410;3
1;2490;BANCO BRASIL AG- 2490-2 - UNIÃ;RS;431410;2
1;2491;BCO.BRASIL AG 2491-0 PORTO XAV;RS;431410;0
1;2514;BCO.BRASIL AG 2514-3 - REALEZA;RS;431410;3
1;2543;BCO.BRASIL AG 2543-7 - RIO NEG;RS;431410;7
1;2554;BANCO DO BRASIL AGENCIA 2554-2;RS;431410;2
1;2613;BCO.BRASIL AG - 2613-1 - SÃO D;RS;431410;1
1;2638;BCO.BRASIL AG: 2638-7 - SÃO JO;RS;431410;7
1;2672;BCO.BRASIL AG 2672-7 - SAPUCAI;RS;431410;7
1;2679;SERAFINA CORREA;RS;431410;4
1;2692;PASSO FUNDO;RS;431410;1
1;2694;RIO GRANDE;RS;431410;8
1;2708;SANTA CRUZ;RS;431410;1
1;2740;TRIUNFO;RS;431410;5
1;2741;BCO.BRASIL AG - 2741-3 - TUCUN;RS;431410;3
1;2768;BCO.BRASIL AG 2768-5 VERA CRUZ;RS;431410;5
1;2794;BCO.BRASIL AG 2794-4 - ANCHIET;RS;431410;4
1;2797;BCO.BRASIL AG - 2797-9 - PORTO;RS;431410;9
1;2840;BANCO BRASIL AG. 2840-1 - NOVA;RS;431410;1
1;2846;B.BRASIL AG- 2846-0 - BARROS C;RS;431410;0
1;2867;CACHOEIRINHA;RS;431410;3
1;2871;BCO.BRASIL - AG - 2871-1 - NSA;RS;431410;1
1;2893;BCO.BRASIL AG 2893-2 SANTA MAR;RS;431410;2
1;2904;SCHARLAU;RS;431410;1
1;2910;RIO GRANDE;RS;431410;6
1;2919;BCO.BRASIL AG: 2919-X - AGUA S;RS;431410;X
1;2942;PELOTAS;RS;431410;4
1;2950;PELOTAS;RS;431410;5
1;2952;BANCO BRASIL-AG 2952-1 CACHOEI;RS;431410;1
1;2969;BENTO GONCALVES;RS;431410;6
1;2982;ITAJAI;RS;431410;3
1;2987;BCO.BRASIL AG- 2987-4 - NOVO H;RS;431410;4
1;2990;BCO BRASIL AG: 2990-4 BAIRRO R;RS;431410;4
1;2992;29920 P. FUNDO;RS;431410;0
1;3037;BCO.BRASIL AG 3037-6 -CAMPO VE;RS;431410;6
1;3047;BANCO DO BRASIL AG 3047-3-CAPO;RS;431410;3
1;3058;SANTA MARIA;RS;431410;9
1;3067;BCO.BRASIL AG: 3067-8 - CHARQU;RS;431410;8
1;3078;BANCO DO BRASIL AG 3078-3-LAGE;RS;431410;3
1;3098;BCO.BRASIL AG 3098-8- DR.MAURI;RS;431410;8
1;3124;PELOTAS;RS;431410;0
1;3134;BCO.BRASIL AG 3134-8 - NOVO HA;RS;431410;
1;3153;BCO.BRADESCO AGENCIA - 3153-4;RS;431410;
1;3160;JOINVILLE;RS;431410;7
1;3188;BCO.BRASIL AG 3188-7 - TEUTONI;RS;431410;7
1;3220;CAXIAS DO SUL;RS;431410;4
1;3240;BCO.BRASL AG 3240-9 - BORGES;RS;431410;9
1;3244;B.BRASIL AG - 3244-1-PARAISO D;RS;431410;1
1;3246;PAROBE;RS;431410;8
1;3256;BANCO DO BRASIL- AG 3256-5 -PO;RS;431410;5
1;3269;BCO.BRASIL AG-3269-7 TRIUNFO;RS;431410;7
1;3281;SANTA MARIA;RS;431410;6
1;3289;BCO.BRASIL AG- 3289-1 - CASCAV;RS;431410;1
1;3328;PONTA GROSSA;RS;431410;6
1;3334;BCO.BRASIL AG - 3334-0 - PORTO;RS;431410;0
1;3395;BCO.BRASIL AG 3395-2 - RIO GRA;RS;431410;2
1;3495;BANCO BRADESCO AG 3495- PORTO;RS;431410;
1;3529;PORTO ALEGRE;RS;431410;7
1;3530;BANCO DO BRASIL AGENCIA- 3530-;RS;431410;0
1;3534;PASSO FUNDO;RS;431410;3
1;3542;BCO.BRASIL AG - 3542-4 - CHAPE;RS;431410;4
