CODIGO;NOME;SIGLA;NUMERO_CNPJ;MES_DATA_BASE;CODIGO_ENTIDADE;ENDERECO;NUMERO_ENDERECO;COMPLEMENTO_ENDERECO;CODIGO_CIDADE;CODIGO_CEP;ENTIDADE_SINDICAL_ALFA
66;SIND. EMP. COM. FARROUPILHA ( ANTONIO PRADO);AJUSTAR;92860618000140;7;5179043014;THOMAZ EDSON;15;SALA 15;4307906;95180000;
67;SIND. EMP. COM. CONDOR (PANAMBI);AJUSTAR;91260935000162;5;5179875710;HERMANN FAULHABER;118;;570;98290000;
68;SIND.EMP.COM.TAQUARA (PAROBÉ-IGREJINHA-TRES COROA);AJUSTAR;91110585000158;3;5179029445;RUA ALFREDO FELIPE KRAEMER;424;;4321204;95600000;
69;SIND. EMP. COM. FRAIBURGO;AJUSTAR;00993423000150;7;565164897751;RUA OLAVO BILAC;199;;4205506;89580000;
70;FED.TRAB.COM.EST.RS (PINHEIRO MACHADO,);AJUSTAR;92832690000163;3;5179000005;RUA DOS ANDRADAS;943;SALA 701;4314902;90020005;
71;SIND. EMP. COM. QUARAI;AJUSTAR;89819213000153;3;915005814019299;SETE DE SETEMBRO;1268;;4315305;97560000;
72;SIND. EMP. COM. IBIRUBA;AJUSTAR;91575001000110;3;911005179903016;TRAVESSA NATAL;65;SALA 1 e 2;4310009;98200000;
73;SIND. EMP. COM. SAO FRANCISCO DE ASSIS;AJUSTAR;91551028000172;6;5179042808;RUA IPIRANGA;89;;4318101;97610000;
74;SIND. EMP. COM. CAMPO MOURAO;AJUSTAR;78106465000119;6;5158019335;FRANCISCO F. ALBULQUERQUE;890;;4104303;87301130;
75;SIND. EMP. EST. BANCARIOS PASSO FUNDO E REG.;AJUSTAR;90785023000141;4;178867950;RUA GENERAL OSORIO;1411;;4314100;99010140;
76;SEMIRGS - SIND. EMP. VENDAS LOCACAO ADM. IMOV. RS;AJUSTAR;93074185000160;4;912020596875978;DR. FLORES;62;CONJ 1101-B;4314902;90020120;
77;SIND. CONTABILISTAS;AJUSTAR;89138168000171;4;2169874911;RUA AUGUSTO SEVERO;168;;4314902;90240480;
78;SIND. EMP. COM. CACAPAVA DO SUL (SAO SEPE);AJUSTAR;87083820000172;9;5179019180;RUA CORONEL ROMAO;674;;4302808;96570000;
79;SIND. EMP. COM. BENTO GONCALVES (NOVA PRATA);AJUSTAR;89341093000121;3;5179012224;AVENIDA OSVALDO ARANHA;1075;SALA 30;4302105;95700000;
80;SIND. EMP. COM. CANOAS (CACHOEIRINHA);AJUSTAR;90811605000155;11;30005814012893;RUA ALBERTO TORRES;224;;4304606;92310020;
81;SIND. EMP. COM. CANOAS (GRAVATAI);AJUSTAR;90811605000155;3;5179012895;RUA ALBERTO TORRES;224;;4304606;92310020;
