ESTCAR;CODCAR;TITRED;TITCAR;CODCB2;DATCRI;DATEXT;CNHOBR;OCLOBR;CODSIG
1;235;AUX. DE MONITORAMENTO;AUX. DE MONITORAMENTO;5173-30;2025-12-22;;;;
1;237;RECEPCIONISTA DE BALCAO;RECEPCIONISTA DE BALCAO;4221-05;2025-12-22;;;;
1;238;AUX. ADMINISTRATIVO I;AUX. ADMINISTRATIVO I;4110-10;2025-12-22;;;;
1;239;RECEPCIONISTA ADMINISTRACAO;RECEPCIONISTA ADMINISTRACAO;4221-05;2025-12-22;;;;
1;241;ENCARREGADO DE MANUTENCAO E LI;ENCARREGADO DE MANUTENCAO E LIMPEZA;5142-10;2025-12-22;;;;
1;242;ELETRICISTA;ELETRICISTA;9511-05;2025-12-22;;;;
1;244;SUPERVISOR;SUPERVISOR;5201-10;2025-12-22;;;;
1;245;AUX.ADMINISTRATIVO II;AUX.ADMINISTRATIVO II;4110-10;2025-12-22;;;;
1;246;ASSESSORA DE MARKETING;ASSESSORA DE MARKETING;2531-15;2025-12-22;;;;
1;247;GERENTE GERAL;GERENTE GERAL;1421-05;2025-12-22;;;;
1;248;ENCARREGADO DE LIMPEZA;ENCARREGADO DE LIMPEZA;5143-25;2025-12-22;;;;
1;249;SUPERVISOR OPERACIONAL;SUPERVISOR OPERACIONAL;5201-10;2025-12-22;;;;
1;3;DIRETOR PRESIDENTE;DIRETOR PRESIDENTE;1210-10;2025-12-22;;;;
1;127;DIRETOR VICE PRESIDENTE;DIRETOR VICE PRESIDENTE;1210-10;2025-12-22;;;;
1;142;TECNICO SEG. DO TRABALHO;TECNICO SEG. DO TRABALHO;3516-05;2025-12-22;;;;
1;144;TEC.ENFERMAGEM DO TRABALHO;TEC.ENFERMAGEM DO TRABALHO;3222-15;2025-12-22;;;;
1;149;AUXILIAR DE ARQUITETURA;AUXILIAR DE ARQUITETURA;3185-05;2025-12-22;;;;
1;250;AUX. TÉC. EM MANUTENCAO;AUX. TÉC. EM MANUTENCAO;3172-10;2025-12-22;;;;
1;251;AUXILIAR DE LOJA (ARRAZZO);AUXILIAR DE LOJA (ARRAZZO);3541-25;2025-12-22;;;;
1;252;GERENTE LOJA (ARRAZZO);GERENTE LOJA (ARRAZZO);1414-15;2025-12-22;;;;
1;253;ENCARREGADO FINANCEIRO;ENCARREGADO FINANCEIRO;4131-10;2025-12-22;;;;
1;254;ENCARREGADO DE CONTABILIDADE;ENCARREGADO DE CONTABILIDADE;4131-10;2025-12-22;;;;
1;121;ORIENTADOR DE VENDA (TOTTAL);ORIENTADOR DE VENDA (TOTTAL);3541-25;2025-12-22;;;;
1;259;ASSESSORA ADMINISTRATIVA;ASSESSORA ADMINISTRATIVA;4110-10;2025-12-22;;;;
1;260;AUXILIAR TECNICO;AUXILIAR TECNICO;3172-05;2025-12-22;;;;
1;261;PROGRAMADOR TRAINEE;PROGRAMADOR TRAINEE;3171-10;2025-12-22;;;;
1;266;SUPERVISOR DE COMPRAS;SUPERVISOR DE COMPRAS;3542-10;2025-12-22;;;;
1;267;ENCARREGADO DE SETOR;ENCARREGADO DE SETOR;3511-10;2025-12-22;;;;
1;268;GERENTE DE IMPORTACAO;GERENTE DE IMPORTACAO;1423-05;2025-12-22;;;;
1;256;ENCARREGADO DEPÓSITO;ENCARREGADO DEPÓSITO;4101-05;2025-12-22;;;;
1;257;ENCARREGADO CONTABILIDADE;ENCARREGADO CONTABILIDADE;4101-05;2025-12-22;;;;
1;258;AUX. CONTABILIDADE III;AUX. CONTABILIDADE III;4131-10;2025-12-22;;;;
1;269;AUXILIAR DE CONTABILIDADE;AUXILIAR DE CONTABILIDADE;4131-10;2025-12-22;;;;
1;270;ANALISTA DE LOGISTICA;ANALISTA DE LOGISTICA;3421-10;2025-12-22;;;;
1;13;DIRETOR ADMINISTRATIVO ADJUNTO;DIRETOR ADMINISTRATIVO ADJUNTO;1231-05;2025-12-22;;;;
1;16;DIRETOR FINANCEIRO ADJUNTO;DIRETOR FINANCEIRO ADJUNTO;1231-15;2025-12-22;;;;
1;264;GERENTE TRAINEE;GERENTE TRAINEE;4101-05;2025-12-22;;;;
1;255;GERENTE DE RECURSOS HUMANOS;GERENTE DE RECURSOS HUMANOS;1422-05;2025-12-22;;;;
1;262;AUXILIAR DE MANUTENCAO;AUXILIAR DE MANUTENCAO;5142-25;2025-12-22;;;;
1;263;ENCARREGADO DE SERVICOS GERAIS;ENCARREGADO DE SERVICOS GERAIS;5142-25;2025-12-22;;;;
