COD_EMP;FIXO1;COD_CONTRATO;DATA_INICIO;COD_CLH;COD_FUN_CARGO;COD_MOTIVO
8;1;318493;01/07/2003;88;;100
8;1;318493;01/10/2002;206;;100
8;1;318493;01/01/2000;210;;100
8;1;318493;05/03/1999;213;;100
8;1;361666;02/02/2004;206;;100
8;1;361674;02/02/2004;206;;100
8;1;361682;02/02/2004;206;;100
8;1;362026;08/03/2004;204;;100
8;1;362336;18/03/2004;68;;100
8;1;363030;12/04/2004;206;;100
8;1;363324;03/05/2004;206;;100
8;1;363332;03/05/2004;68;;100
8;1;364630;09/07/2004;206;;100
8;1;366870;19/11/2004;206;;100
8;1;369829;01/12/2004;204;;100
8;1;371998;07/02/2005;206;;100
8;1;372625;19/03/2005;206;;100
8;1;373206;16/04/2005;206;;100
8;1;298573;16/03/2004;196;;100
8;1;298573;03/11/1997;120;;100
8;1;298573;09/06/1997;208;;100
8;1;340235;22/06/2005;196;;100
8;1;340235;27/08/2001;229;;100
8;1;356301;10/11/2003;229;;100
8;1;356310;10/11/2003;229;;100
8;1;356379;10/12/2003;204;;100
8;1;356387;10/12/2003;204;;100
8;1;370045;08/12/2004;204;;100
8;1;371041;10/12/2004;204;;100
8;1;340170;16/02/2004;88;;100
8;1;340170;01/10/2002;206;;100
8;1;340170;27/08/2001;210;;100
8;1;361534;02/02/2004;206;;100
8;1;361542;02/02/2004;206;;100
8;1;361828;01/03/2004;204;;100
8;1;362310;16/03/2004;68;;100
8;1;363472;10/05/2004;206;;100
8;1;364061;09/06/2004;68;;100
8;1;371572;21/12/2004;206;;100
8;1;372064;14/02/2005;206;;100
8;1;373885;19/05/2005;68;;100
8;1;80299;15/09/2004;212;;100
8;1;80340;13/12/2004;212;;100
8;1;80340;01/12/2004;204;;100
8;1;253197;01/02/2004;88;;100
8;1;253197;07/12/1998;14;;100
8;1;253197;01/08/1996;88;;100
8;1;253197;01/05/1996;132;;100
8;1;253197;01/01/1995;86;;100
8;1;253197;01/04/1993;88;;100
8;1;253197;01/03/1993;225;;100
8;1;308340;15/06/2004;88;;100
8;1;308340;01/10/1998;206;;100
8;1;308340;10/03/1998;210;;100
8;1;361747;02/02/2004;206;;100
8;1;361755;02/02/2004;206;;100
8;1;361763;02/02/2004;206;;100
8;1;361771;02/02/2004;206;;100
8;1;366242;08/10/2004;206;;100
8;1;366889;20/11/2004;206;;100
8;1;369942;01/12/2004;204;;100
8;1;373770;02/05/2005;206;;100
8;1;374830;02/08/2005;206;;100
8;1;80341;01/12/2004;212;;100
