codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_centro_custos
4;1;317837;01/03/10;001
4;1;317837;01/11/99;003
4;1;317837;09/02/99;001
4;1;317845;01/01/09;001
4;1;317845;01/05/02;004
4;1;317845;01/11/99;004
4;1;317845;10/12/99;001
4;1;318310;01/11/99;004
4;1;318310;04/03/99;002
4;1;318469;01/03/99;001
4;1;318760;05/04/99;002
4;1;318787;05/04/99;002
4;1;319724;01/01/09;001
4;1;319724;02/01/99;001
4;1;320617;01/07/99;001
4;1;320617;01/11/99;003
4;1;322075;01/11/99;004
4;1;322075;23/08/99;002
4;1;322628;01/11/99;004
4;1;322628;13/09/99;002
4;1;322806;07/02/00;003
4;1;323144;23/09/99;002
4;1;325210;01/01/09;001
4;1;325210;23/01/06;003
4;1;325953;27/07/00;003
4;1;328545;01/02/00;004
4;1;328979;01/01/09;002
4;1;328979;01/03/00;004
4;1;328979;12/02/04;004
4;1;328979;18/10/04;003
4;1;329266;01/08/02;002
4;1;329266;21/03/00;003
4;1;330442;01/02/02;003
4;1;330442;01/06/00;001
4;1;330450;01/06/00;001
4;1;331120;17/07/00;003
4;1;331139;17/07/00;003
4;1;331473;07/08/00;004
4;1;331481;07/08/00;004
4;1;332232;19/09/00;004
4;1;332542;04/10/00;004
4;1;332860;20/10/00;004
4;1;332879;20/10/00;004
4;1;334383;16/11/00;004
4;1;335339;18/10/04;004
4;1;336726;12/01/01;004
4;1;336742;15/11/02;003
4;1;336742;16/01/01;004
4;1;336980;20/02/01;004
4;1;337579;20/03/01;004
4;1;337587;01/02/02;001
4;1;337587;01/08/03;003
4;1;337587;01/10/03;002
4;1;337587;20/03/01;004
4;1;337749;02/04/01;001
4;1;337773;01/01/09;001
4;1;337773;01/02/13;001
4;1;337773;02/08/07;003
4;1;337773;06/02/23;350
4;1;337773;13/01/23;350
4;1;337897;09/04/01;004
4;1;338109;02/04/01;001
4;1;338982;01/01/09;003
4;1;338982;06/06/01;002
4;1;340219;23/08/01;004
4;1;340324;03/09/01;004
4;1;341258;17/10/01;001
4;1;341487;01/11/01;003
4;1;341622;05/11/01;004
4;1;344931;08/01/02;004
4;1;344966;01/06/04;003
4;1;344966;07/01/02;004
4;1;345040;08/01/02;001
4;1;346152;01/04/02;003
4;1;347515;01/01/09;003
4;1;347515;01/06/05;002
4;1;347515;01/07/18;002
4;1;347515;03/03/04;001
4;1;347515;18/06/12;001
4;1;348406;01/04/04;003
4;1;348406;14/10/02;004
4;1;348406;16/01/04;001
4;1;348589;21/10/02;004
4;1;348830;01/11/02;004
4;1;348848;01/11/02;004
4;1;352268;10/01/03;003
4;1;352675;14/01/03;004
4;1;352683;01/01/09;001
4;1;352683;01/06/07;004
4;1;352683;01/07/03;003
4;1;352683;01/08/09;002
4;1;352683;14/01/03;004
4;1;352683;14/09/11;001
4;1;353592;11/10/04;002
4;1;353592;14/10/02;004
4;1;353671;01/01/09;002
4;1;353671;02/04/08;001
4;1;354759;01/01/09;002
4;1;354759;01/07/10;001
4;1;354759;21/06/04;003
4;1;354929;06/08/03;004
4;1;356107;13/11/03;004
4;1;361470;01/01/09;003
4;1;361470;01/08/05;002
4;1;361470;02/02/04;004
4;1;361844;08/03/04;001
4;1;362212;13/05/04;002
4;1;362212;15/03/04;004
4;1;362220;07/02/05;003
4;1;362220;15/03/04;004
4;1;362239;15/03/04;004
4;1;363430;06/05/04;001
4;1;364290;14/06/04;004
4;1;364290;25/01/06;003
4;1;364967;01/08/06;003
4;1;365718;01/12/15;002
4;1;365718;02/11/12;001
4;1;366269;01/01/09;003
4;1;366269;01/09/09;002
4;1;366269;13/10/04;004
4;1;366641;05/11/04;004
4;1;371564;01/01/09;002
4;1;371564;16/05/05;003
4;1;372080;16/02/05;004
4;1;372692;21/03/05;004
4;1;373290;01/01/09;001
4;1;373290;20/04/05;001
4;1;373907;01/01/09;001
4;1;373907;01/05/05;001
4;1;373915;02/06/05;001
4;1;373974;08/06/05;001
4;1;374014;01/01/09;001
4;1;374014;14/03/05;004
4;1;374014;25/01/06;003
4;1;374130;22/06/05;002
4;1;374725;01/08/05;004
4;1;375608;19/10/05;004
4;1;375616;19/10/05;004
4;1;376223;05/12/05;002
4;1;376223;13/12/05;002
4;1;376224;01/01/09;003
4;1;376224;25/01/06;004
4;1;376268;01/01/09;002
4;1;376268;09/10/07;003
4;1;376321;01/01/09;003
4;1;376321;01/06/08;002
4;1;376321;09/01/06;001
4;1;376344;19/01/06;004
4;1;376344;25/01/06;004
4;1;376352;01/02/06;004
4;1;376376;17/02/06;004
4;1;376416;14/03/06;004
4;1;376418;01/01/09;002
4;1;376418;01/05/06;002
4;1;376418;14/03/06;004
4;1;376418;20/04/07;004
4;1;376418;23/01/07;002
4;1;376418;25/09/06;004
4;1;376419;13/03/06;004
4;1;376536;25/05/06;004
4;1;376630;22/06/06;003
4;1;376631;22/06/06;004
4;1;376827;01/01/09;003
4;1;376827;01/09/06;004
4;1;376827;06/07/15;002
4;1;376832;01/09/06;004
4;1;376860;02/10/06;004
4;1;376861;06/10/06;004
4;1;376862;10/10/06;004
4;1;376962;01/01/09;001
4;1;376962;13/11/06;001
4;1;377116;01/01/09;002
4;1;377116;19/01/07;004
4;1;377117;18/01/07;004
4;1;377119;01/01/09;003
4;1;377119;01/02/07;004
4;1;377119;22/02/12;002
4;1;377162;05/02/07;004
4;1;377165;12/02/07;004
4;1;377205;01/03/07;004
4;1;377210;01/03/07;004
4;1;377211;01/03/07;004
4;1;377234;12/03/07;004
4;1;377244;01/01/09;001
4;1;377244;01/06/08;001
4;1;377244;01/09/09;001
4;1;377244;13/03/07;004
4;1;377399;01/01/09;002
4;1;377399;04/06/07;004
4;1;377441;01/01/09;003
4;1;377441;25/06/07;004
4;1;377442;01/01/09;002
4;1;377442;25/06/07;004
4;1;377487;01/01/09;003
4;1;377487;12/07/07;004
4;1;377675;01/01/09;001
4;1;377675;18/09/07;002
4;1;377706;01/01/09;002
4;1;377706;09/10/07;004
4;1;377735;01/01/09;003
4;1;377735;01/02/08;004
4;1;377795;01/01/09;002
4;1;377795;11/01/08;003
4;1;377872;19/11/07;002
4;1;377981;01/01/09;002
4;1;377981;03/12/09;002
4;1;377981;21/01/08;004
4;1;377982;21/01/08;004
4;1;377983;01/01/09;003
4;1;377983;21/01/08;004
4;1;378014;11/02/08;004
4;1;378017;11/02/08;004
4;1;378030;01/01/09;002
4;1;378030;18/02/08;004
4;1;378302;01/01/09;002
4;1;378302;24/11/09;001
4;1;378302;26/05/08;004
4;1;378303;01/01/09;002
4;1;378303;26/05/08;004
4;1;378304;01/01/09;002
4;1;378304;26/05/08;004
4;1;378316;02/06/08;004
4;1;378390;01/01/09;002
4;1;378390;14/05/10;002
4;1;378390;24/06/08;004
4;1;378401;01/01/09;002
4;1;378401;03/07/08;004
4;1;378442;01/01/09;003
4;1;378442;06/09/09;001
4;1;378442;14/07/08;004
4;1;378442;15/03/11;002
4;1;378562;01/01/09;003
4;1;378562;01/03/12;001
4;1;378562;08/09/08;004
4;1;378562;09/10/12;003
4;1;378562;10/06/10;003
4;1;378567;01/01/09;003
4;1;378567;09/09/08;004
4;1;378683;01/01/09;003
4;1;378683;03/11/08;004
4;1;378739;01/01/09;002
4;1;378739;14/11/08;004
4;1;378739;20/10/09;003
4;1;378862;02/05/25;002
4;1;378862;06/02/23;350
4;1;378862;07/06/10;001
4;1;378862;10/04/15;001
4;1;378862;13/01/23;350
4;1;378862;14/01/09;002
4;1;378863;14/01/09;002
4;1;378864;14/01/09;002
4;1;378871;09/02/09;003
4;1;378872;09/02/09;002
4;1;378976;01/09/09;003
4;1;378976;24/03/09;002
4;1;378978;01/04/09;002
4;1;378979;01/04/09;003
4;1;378979;22/10/10;002
4;1;378980;01/04/09;002
4;1;379030;06/07/15;003
4;1;379030;16/02/16;001
4;1;379030;20/04/09;002
4;1;379083;01/06/10;001
4;1;379153;08/07/09;002
4;1;379167;17/07/09;002
4;1;379184;03/08/09;002
4;1;379184;19/04/10;003
4;1;379185;03/08/09;003
4;1;379186;03/08/09;003
4;1;379186;06/09/11;002
4;1;379186;15/03/11;001
4;1;379187;03/08/09;002
4;1;379245;20/08/09;002
4;1;379330;16/10/09;003
4;1;379417;09/11/10;003
4;1;379417;10/11/09;002
4;1;379442;16/11/09;003
4;1;379445;16/11/09;002
4;1;379449;18/11/09;002
4;1;379598;18/01/10;002
4;1;379600;18/01/10;002
4;1;379609;20/01/10;001
4;1;379610;21/01/10;002
4;1;379611;16/02/16;001
4;1;379611;25/01/10;003
4;1;379636;08/02/10;002
4;1;379668;17/02/10;003
4;1;379674;06/09/10;002
4;1;379674;17/02/10;003
4;1;379677;01/08/23;003
4;1;379677;11/10/11;003
4;1;379677;17/02/10;003
